ex_date,dividend,payment_date,fiscal_year,dividend_type
2022-06-07,81.50685,2022-06-24,2021,final
2021-06-17,67.0,2021-07-09,2020,final
2020-08-04,60.0,2020-08-26,2019,final
2019-06-10,190.0,2019-06-21,2018,final
2018-05-02,90.0,2018-05-25,2017,final
2017-06-21,90.0,2017-07-14,2016,final
2016-04-07,130.0,,2015,final
2015-05-06,85.0,,2014,final
2014-05-08,75.0,,2013,final
2013-05-21,40.0,,2012,final
2012-05-10,30.0,,2011,final
2011-07-14,25.0,,2010,final
2010-07-06,18.05549,,2009,final
2009-06-12,14.4444,,2008,final
2008-06-24,14.4444,,2007,final
2004-07-16,14.4444,,2003,final
2003-07-22,14.4444,,2002,final
