ex_date,dividend,payment_date,fiscal_year,dividend_type
2019-06-28,15.96065,2019-07-19,2018,final
2018-05-22,14.46027,2018-06-08,2017,final
2017-06-05,9.07116,2017-06-22,2016,final
2016-06-10,7.95353,,2015,final
2015-06-23,6.71342,,2014,final
2013-07-11,4.76906,,2012,final
2012-07-18,4.66571,,2011,final
2011-07-04,9.18598,,2010,final
2010-07-08,6.2235,,2009,final
2009-06-30,2.59121,,2008,final
2007-07-03,3.82749,,2006,final
2006-07-03,3.88108,,2005,final
2005-06-29,5.54987,,2004,final
2004-07-23,5.35849,,2003,final
