ex_date,dividend,payment_date,fiscal_year,dividend_type
2024-05-31,20.0,2024-06-12,2023,final
2023-07-03,16.0,2023-07-12,2022,final
2022-06-17,6.0,2022-06-30,2021,final
2021-06-29,4.0,2021-07-08,2020,final
2019-05-27,14.0,2019-06-18,2018,final
2018-06-04,16.0,2018-06-08,2017,final
2017-06-02,16.0,2017-06-20,2016,final
2016-06-17,18.0,,2015,final
2015-06-15,60.0,,2014,final
2014-06-16,60.0,,2013,final
2013-06-20,30.0,,2012,final
2012-11-20,30.0,,2012,interim
2012-05-22,17.45201,,2011,final
2011-11-17,26.17801,,2011,interim
2011-05-23,30.54101,,2010,final
2009-06-18,8.726,,2008,final
2008-06-19,8.726,,2007,final
2007-05-09,8.726,,2006,final
2006-07-05,6.24221,,2005,final
