ex_date,dividend,payment_date,fiscal_year,dividend_type
2025-12-30,137.0,2026-01-15,2025,interim
2025-04-11,208.4,2025-04-23,2024,final
2024-12-27,135.0,2025-01-15,2024,interim
2024-03-14,235.0,2024-03-28,2023,final
2024-01-02,84.0,2024-01-18,2023,interim
2023-03-24,231.22139,2023-04-12,2022,final
2023-01-10,57.0,2023-01-27,2022,interim
2022-03-11,174.25147,2022-04-01,2021,final
2021-04-06,89.91268,2021-04-28,2020,final
2020-02-27,152.90845,2020-03-18,2019,final
2019-05-24,120.15633,2019-06-13,2018,final
2018-04-02,97.04093,2018-04-25,2017,final
2017-03-23,77.92693,2017-04-13,2016,final
2016-04-01,56.66471,,2015,final
2015-03-27,53.59926,,2014,final
2014-04-29,46.78594,,2013,final
2013-03-27,40.95056,,2012,final
2012-04-27,22.23265,,2011,final
2011-05-30,12.73433,,2010,final
2010-12-20,4.17538,,2010,interim
2010-06-29,12.00707,,2009,final
2009-12-01,4.15811,,2009,interim
2009-06-17,15.37792,,2008,final
2008-06-19,17.84878,,2007,final
2007-06-14,15.73064,,2006,final
2006-06-22,14.19794,,2005,final
2005-06-17,13.90249,,2004,final
2004-07-07,7.6535,,2003,final
