ex_date,dividend,payment_date,fiscal_year,dividend_type
2024-04-03,125.48,2024-04-25,2023,final
2023-04-12,118.26,2023-05-04,2022,final
2022-04-05,56.33,2022-04-28,2021,final
2021-05-11,36.08,2021-06-03,2020,final
2020-04-02,187.55,2020-04-24,2019,final
2019-04-05,143.22,2019-04-26,2018,final
2018-03-28,134.44,2018-04-18,2017,final
2017-04-25,97.48,2017-05-12,2017,interim
2017-04-21,97.48,,2016,final
2016-05-10,74.9,,2015,final
2015-04-15,81.5,,2014,final
2014-06-02,126.5,,2013,final
2013-05-31,125.58,,2012,final
2012-04-20,104.43,,2011,final
2011-04-25,116.39672,,2010,final
2010-05-24,88.47977,,2009,final
2009-06-19,88.72253,,2008,final
2008-05-19,203.72096,,2007,final
2007-05-15,127.63148,,2006,final
2006-06-16,51.71677,,2005,final
2005-06-20,64.7188,,2004,final
2004-12-09,173.55122,,2004,interim
2004-05-06,38.35547,,2004,interim
2004-03-19,82.53709,,2003,final
2003-12-17,48.55123,,2003,interim
2003-06-30,20.35947,,2002,final
