ex_date,dividend,payment_date,fiscal_year,dividend_type
2025-12-11,35.0,2025-12-18,2025,interim
2025-05-21,32.0,2025-06-11,2024,final
2024-12-12,28.0,2024-12-19,2024,interim
2024-06-04,27.0,2024-06-21,2023,final
2023-12-14,28.0,2023-12-21,2023,interim
2023-05-26,32.0,2023-06-15,2022,final
2022-12-15,28.0,2022-12-22,2022,interim
2022-07-08,10.0,2022-07-28,2021,final
2021-12-17,7.0,2021-12-23,2021,interim
2021-06-07,18.0,2021-06-25,2020,final
2020-07-08,12.0,2020-07-29,2019,final
2019-06-14,49.0,2019-06-28,2018,final
2018-04-25,16.0,2018-05-18,2017,final
2017-11-29,23.0,2017-12-18,2017,interim
2017-04-27,11.0,2017-05-18,2016,final
2016-11-29,15.0,,2016,interim
2016-05-04,7.0,,2015,final
2015-11-27,13.8,,2015,interim
2015-04-23,5.4,,2015,interim
2015-01-05,13.8,,2014,final
2014-07-25,12.47,,2013,final
2010-05-18,3.9,,2010,interim
2010-01-13,2.85,,2009,final
2009-06-22,5.35,,2008,final
2008-06-10,5.1,,2007,final
2007-05-03,3.2145,,2006,final
2006-06-01,1.726,,2005,final
2005-06-10,0.54,,2004,final
2004-05-04,1.66578,,2003,final
2003-03-13,1.5,,2002,final
2002-12-03,1.625,,2001,final
