ex_date,dividend,payment_date,fiscal_year,dividend_type
2024-06-05,80,2024-06-14,2023,final
2023-06-05,68,2023-06-13,2022,final
2022-06-03,68,2022-06-14,2021,final
2021-07-02,38,2021-07-13,2020,final
2020-09-03,38,2020-09-16,2019,final
2019-06-14,100,2019-06-24,2018,final
2018-06-07,100,2018-06-29,2017,final
2017-06-09,88,2017-06-22,2016,final
2016-06-15,33,,2015,final
2015-06-09,21,,2014,final
2014-07-01,12,,2013,final
2013-07-01,10,,2012,final
2012-06-19,10,,2011,final
2011-06-28,10,,2010,final
