ex_date,dividend,payment_date,fiscal_year,dividend_type
2024-04-22,122.67,2024-05-03,2023,final
2023-04-26,115.16,2023-05-10,2022,final
2022-04-20,94.07,2022-04-28,2021,final
2021-04-20,44.06,2021-05-07,2020,final
2020-04-21,55.39,2020-05-08,2019,final
2019-04-26,27.9336,2019-05-15,2018,final
2018-05-03,23.89,2018-05-24,2017,final
2011-11-14,7.95,,2010,final
2009-05-22,12.52419,,2008,final
2008-05-23,11.16863,,2007,final
2007-09-04,19.40021,,2007,interim
2007-05-14,9.96041,,2006,final
2006-08-14,5.79551,,2006,interim
2006-05-01,5.71692,,2005,final
2005-09-29,3.29067,,2005,interim
2005-05-31,14.73946,,2004,final
2004-06-14,6.59976,,2003,final
