ex_date,dividend,payment_date,fiscal_year,dividend_type
2025-11-21,7.0,2025-12-11,2025,interim
2025-06-19,2.0,2025-07-09,2024,final
2024-11-13,5.0,2024-12-04,2024,interim
2024-06-25,4.0,2024-07-10,2023,final
2023-11-13,6.0,2023-12-01,2023,interim
2023-05-24,8.0,2023-06-14,2022,final
2022-07-11,8.0,2022-08-02,2021,final
2021-08-10,6.0,2021-09-02,2020,final
2020-08-28,6.0,2020-09-16,2019,final
2019-07-02,5.0,2019-07-16,2018,final
2018-06-05,4.0,2018-06-26,2017,final
2017-06-14,2.5,2017-07-07,2016,final
2011-09-29,8.0,,2011,interim
2011-06-14,5.1,,2010,final
2010-06-16,9.7,,2009,final
2009-09-04,6.0,,2008,final
2008-09-09,7.0,,2008,interim
2008-07-11,2.0,,2007,final
2007-12-03,3.0,,2006,final
