ex_date,dividend,payment_date,fiscal_year,dividend_type
2025-06-26,24.0,2025-07-18,2024,final
2024-06-28,21.0,2024-07-19,2023,final
2023-07-11,15.0,2023-07-25,2022,final
2022-08-05,14.0,2022-08-26,2021,final
2021-08-09,8.5,2021-08-30,2020,final
2020-08-11,8.0,2020-09-03,2019,final
2019-07-05,10.0,2019-07-26,2018,final
2018-06-21,9.5,2018-07-05,2017,final
2017-07-03,4.75,2017-07-14,2016,final
2016-07-13,2.0,,2016,interim
2016-06-23,5.96319,,2015,final
2015-09-30,2.2362,,2015,interim
2015-07-08,7.86542,,2014,final
2014-07-04,18.68038,,2013,final
2013-07-08,11.79813,,2012,final
2012-07-25,6.88224,,2011,final
2011-07-26,5.89907,,2010,final
