ex_date,dividend,payment_date,fiscal_year,dividend_type
2026-01-07,5.6,2026-01-22,2025,interim
2025-07-25,2.2,2025-08-07,2025,interim
2024-12-13,3.5,2024-12-27,2024,interim
2024-09-24,1.25,2024-10-03,2024,interim
2024-06-05,1.5,2024-06-20,2024,interim
2024-04-25,2.45,2024-05-03,2023,final
2023-11-16,2.5,2023-12-07,2023,interim
2023-08-14,1.8,2023-08-30,2023,interim
2023-05-29,1.953,2023-06-08,2023,interim
2023-04-04,2.355,2023-04-17,2022,final
2022-10-24,1.639,2022-11-02,2022,interim
2022-08-04,1.7,2022-08-15,2022,interim
2022-04-19,1.52,2022-04-27,2022,interim
2022-04-07,1.33,2022-04-20,2021,final
2021-12-08,0.95,2021-12-16,2021,interim
2021-10-08,0.75,2021-10-19,2021,interim
2021-05-10,1.5,2021-05-25,2020,final
