ex_date,dividend,payment_date,fiscal_year,dividend_type
2025-06-10,15.0,2025-06-26,2024,final
2024-07-08,34.0,2024-07-26,2023,final
2023-07-11,47.0,2023-07-27,2022,final
2022-05-31,28.0,2022-06-22,2021,final
2021-08-09,25.0,2021-08-18,2020,final
2020-07-30,7.5,2020-08-19,2019,final
2019-07-04,1.5.0,2019-07-26,2018,final
2018-06-25,4.0,2018-07-06,2017,final
2017-05-30,5.6,2017-06-08,2016,final
2016-06-30,5.0,,2015,final
2015-07-07,1.0,,2014,final
2014-06-16,2.0,,2013,final
2013-07-30,1.5,,2012,final
2012-07-23,1.0,,2011,final
2011-08-04,1.0,,2010,final
2010-10-18,0.65,,2009,final
2009-07-23,0.50,,2008,final
2008-08-25,0.50,,2007,final
2007-04-20,0.1,,2006,final
2005-08-09,0.1,,2004,final
2004-08-02,0.2,,2003,final
2003-08-13,0.15,,2002,final
