ex_date,dividend,payment_date,fiscal_year,dividend_type
2023-07-10,1200,2023-07-18,2022,final
2022-07-11,2250,2022-07-28,2021,final
2021-07-19,2600,2021-07-29,2020,final
2019-07-05,2600,2019-07-25,2018,final
2018-07-04,2600,2018-07-26,2017,final
2017-07-04,2600,2017-07-19,2016,final
2016-06-29,2600,,2015,final
2015-07-06,800,,2014,final
2014-08-07,800,,2013,final
2013-07-23,680,,2012,final
2012-07-31,1000,,2011,final
2011-07-26,880,,2011,interim
2011-03-22,400,,2010,final
2010-07-14,650,,2009,final
2009-07-15,350,,2008,final
2008-07-16,250,,2007,final
2007-07-24,250,,2006,final
2006-07-24,500,,2005,final
2005-07-22,500,,2004,final
2004-07-19,300,,2003,final
2003-06-30,300,,2002,final
2002-07-03,300,,2001,final
