ex_date,dividend,payment_date,fiscal_year,dividend_type
2024-10-03,714.70001,2024-10-25,2023,final
2023-10-06,768.29999,2023-10-27,2022,final
2022-09-30,799.07001,2022-10-21,2021,final
2021-09-28,1197.19995,2021-10-21,2020,final
2020-09-29,546.15002,2020-10-22,2019,final
2019-10-08,507.72,2019-10-25,2018,final
2018-09-26,320.67001,2018-10-19,2017,final
2017-09-29,234.0,2017-10-25,2016,final
2016-10-05,1641.0,,2015,final
2015-09-28,117.0,,2014,final
2014-09-24,109.0,,2013,final
2013-10-22,300.0,,2012,final
2012-10-17,371.0,,2011,final
2011-09-29,183.41,,2010,final
2010-08-30,131.0,,2009,final
2009-08-24,23.0,,2009,interim
2009-07-22,109.0,,2008,final
2008-07-16,21.0,,2007,final
2007-07-18,17.0,,2006,final
2006-07-13,46.0,,2005,final
2005-07-12,43.0,,2004,final
2004-07-07,18.0,,2003,final
2003-07-08,16.0,,2002,final
