ex_date,dividend,payment_date,fiscal_year,dividend_type
2024-05-03,69.3,2024-05-17,2023,final
2023-06-20,54.7,2023-06-27,2022,final
2022-06-20,63.3,2022-06-29,2021,final
2021-06-08,72.8,2021-06-18,2020,final
2020-06-02,119.8,2020-06-09,2019,final
2019-05-20,117.2,2019-05-29,2018,final
2018-05-08,107.3,2018-05-25,2017,final
2017-05-08,107.7,2017-05-26,2016,final
2016-05-09,89.0,,2015,final
2015-08-19,38.92675,,2015,interim
2015-05-06,36.74112,,2014,final
2014-12-05,43.0719,,2014,interim
2014-09-12,13.56595,,2014,interim
2014-06-04,34.93233,,2013,final
2013-12-03,36.51502,,2013,interim
2013-06-11,48.98816,,2012,final
2012-12-07,18.8416,,2012,interim
2012-05-23,39.56736,,2011,final
2011-12-07,17.33427,,2011,interim
2011-09-13,10.17446,,2011,interim
2011-06-13,41.82835,,2010,final
2010-12-30,34.29171,,2010,interim
2010-09-15,23.17517,,2010,interim
2010-02-09,5.65248,,2009,final
2009-12-03,4.14515,,2009,interim
2009-06-18,12.81229,,2009,interim
2009-03-10,4.14515,,2008,final
2008-10-13,10.5513,,2008,interim
2008-02-27,19.21843,,2007,final
2007-09-05,5.65248,,2007,interim
2007-06-12,5.46406,,2006,final
2006-11-24,3.76832,,2006,interim
2006-09-18,9.4208,,2006,interim
2006-07-03,7.53664,,2005,final
2005-10-14,12.81229,,2005,interim
2005-07-22,10.36288,,2004,final
2004-11-24,13.18912,,2004,interim
2004-07-27,3.01466,,2004,interim
2004-05-19,4.52198,,2003,final
2003-07-22,5.27565,,2003,interim
2003-04-08,1.88416,,2002,final
2002-08-09,0.94208,,2001,final
