ex_date,dividend,payment_date,fiscal_year,dividend_type
2024-07-01,10.0,2024-07-24,2023,final
2023-07-10,10.0,2023-08-02,2022,final
2022-08-05,4.0,2022-08-26,2021,final
2021-07-07,4.0,2021-07-30,2020,final
2020-06-17,4.76332,2020-07-09,2019,final
2019-07-01,4.76332,2019-07-24,2018,final
2018-07-06,4.76332,2018-08-01,2017,final
2017-07-04,4.76332,2017-07-20,2016,final
2016-07-11,9.52663,,2015,final
2015-07-07,9.52663,,2014,final
2014-07-21,18.1006,,2013,final
2013-08-21,27.62723,,2012,final
2012-05-22,56.20712,,2011,final
