ex_date,dividend,payment_date,fiscal_year,dividend_type
2025-06-12,83.8,2025-07-02,2024,final
2024-06-03,67.099998,2024-06-21,2023,final
2023-05-25,63.925000,2023-06-15,2022,final
2022-08-29,62.014108,2022-09-21,2021,final
2021-12-07,207.032502,2021-12-16,2020,final
2018-05-18,18.250000,2018-06-08,2017,final
2017-06-05,17.795000,2017-06-22,2016,final
2013-07-11,8.630000,,2012,final
2012-06-08,19.207500,,2011,final
2011-07-20,14.887500,,2010,final
2010-07-15,34.465000,,2009,final
2009-07-03,43.212502,,2008,final
2008-06-27,46.974998,,2007,final
2007-06-27,32.437500,,2006,final
2006-07-21,37.330002,,2005,final
2005-06-29,38.557500,,2004,final
2004-07-14,36.387500,,2003,final
