ex_date,dividend,payment_date,fiscal_year,dividend_type
2025-04-21,2245.0,2025-05-07,2024,final
2024-09-10,1228.0,2024-09-25,2024,interim
2024-04-17,1747.0,2024-04-25,2023,final
2023-09-12,2660.0,2023-09-22,2023,interim
2023-04-11,6416.0,2023-04-18,2022,final
2022-11-11,4128.0,2022-11-22,2022,interim
2022-04-04,3040.0,2022-04-22,2021,final
2021-11-11,1218.0,2021-11-24,2021,interim
2021-04-15,167.0,2021-04-29,2020,final
2020-11-10,307.0,2020-11-24,2020,interim
2020-06-08,570.0,2020-06-23,2019,final
2019-11-01,705.0,2019-11-15,2019,interim
2019-04-04,2045.0,2019-04-23,2018,final
2018-10-31,1420.0,2018-11-16,2018,interim
2018-04-03,1840.0,2018-04-20,2017,final
2017-11-06,1300.0,2017-11-21,2017,interim
2017-04-06,1142.85999,2017-04-21,2016,final
2016-11-08,434.32001,,2016,interim
2016-04-05,60.56,,2015,final
2015-10-09,752.0,,2015,interim
2015-04-09,645.0,,2014,final
2014-10-30,1100.0,,2014,interim
2014-04-29,975.0,,2013,final
2013-10-30,1014.0,,2013,interim
2013-04-29,1464.0,,2012,final
2012-10-30,1666.0,,2012,interim
2012-04-30,2506.0,,2011,final
2011-09-29,1168.0,,2011,interim
2011-04-20,407.0,,2010,final
2010-09-29,795.0,,2010,interim
2010-04-30,1286.0,,2009,final
2009-10-21,678.0,,2009,interim
2009-05-12,706.0,,2008,final
2008-12-02,295.0,,2008,interim
2008-10-09,344.0,,2008,interim
2008-05-07,155.0,,2007,final
