ex_date,dividend,payment_date,fiscal_year,dividend_type
2022-05-23,16.32735,2022-06-10,2021,final
2021-05-07,1.27035,2021-05-28,2020,final
2019-05-16,14.98,2019-05-28,2018,final
2018-04-27,17.66,2018-05-23,2017,final
2017-05-02,9.63,2017-05-24,2016,final
2016-04-14,8.9611,,2015,final
2015-04-16,8.4488,,2014,final
2014-04-21,9.6574,,2013,final
2013-05-02,5.5401,,2012,final
2012-06-15,6.185,,2011,final
2011-07-08,4.995,,2011,interim
2011-02-02,3.3763,,2010,final
2009-06-26,2.49,,2008,final
2008-06-18,2.819,,2007,final
2007-06-19,2.37,,2006,final
2006-06-14,2.853,,2005,final
2005-06-03,4.1754,,2004,final
2004-06-09,3.0917,,2003,final
2003-06-09,1.9126,,2002,final
2002-06-27,10.716,,2001,final
