ex_date,dividend,payment_date,fiscal_year,dividend_type
2025-04-22,300.0,2025-04-29,2024,final
2024-04-22,200.0,2024-04-29,2023,final
2023-04-10,525.0,2023-04-17,2022,final
2022-04-14,250.0,2022-04-28,2021,final
2021-11-11,100.0,2021-12-02,2020,final
2019-05-08,333.19733,2019-05-29,2018,final
2018-05-08,457.5,2018-05-30,2017,final
2017-05-05,484.60001,,2016,final
2016-06-03,427.29999,,2015,final
2015-06-08,291.79999,,2014,final
2014-06-12,157.7,,2013,final
2011-08-23,14.0,,2011,interim
2011-06-13,32.25,,2010,final
