ex_date,dividend,payment_date,fiscal_year,dividend_type
2025-06-04,65.0,2025-06-25,2024,final
2019-07-01,22.0,2019-07-19,2018,final
2018-10-18,16.0,2018-11-09,2017,final
2017-07-06,38.0,2017-07-21,2016,final
2014-11-12,20.0,,2013,final
2013-11-11,36.0,,2012,final
2012-12-07,25.0,,2011,final
2011-09-19,23.0,,2010,final
2010-12-20,14.0,,2010,interim
2010-11-09,9.52,,2010,interim
2010-09-07,11.2,,2009,final
2009-08-07,0.8,,2008,final
2008-12-18,5.0,,2007,final
2007-10-10,7.6,,2006,final
2006-11-10,5.0,,2006,interim
2006-07-28,14.0,,2005,final
