ex_date,dividend,payment_date,fiscal_year,dividend_type
2025-06-04,7.35,2025-06-18,2024,final
2024-05-29,4.65,2024-06-13,2023,final
2023-05-29,3.94318,2023-06-16,2022,final
2022-06-07,2.71567,2022-06-24,2021,final
2021-05-20,1.97633,2021-06-09,2020,final
2020-05-28,2.0095,2020-06-17,2019,final
2019-05-27,1.57348,2019-06-19,2018,final
2018-06-05,1.01423,2018-06-27,2017,final
2017-05-29,1.94315,2017-06-21,2016,final
2016-06-06,1.42182,,2015,final
2015-06-04,1.37442,,2014,final
2014-06-16,0.66352,,2013,final
2013-07-02,0.36967,,2012,final
2012-07-16,0.25972,,2011,final
