ex_date,dividend,payment_date,fiscal_year,dividend_type
2026-05-11,3.2,2026-06-03,2025,final
2025-11-07,2.14,2025-11-26,2025,interim
2025-05-15,3.44,2025-06-05,2024,final
2024-08-22,4.4,2024-09-06,2024,interim
2024-05-07,4.28,2024-05-28,2023,final
2023-05-05,7.24,2023-05-26,2022,final
2022-09-15,6.2,2022-09-23,2022,interim
2022-05-23,1.8,2022-06-10,2022,interim
2022-01-12,3.6,2022-01-26,2021,final
2021-05-11,4.6,2021-05-31,2020,final
2020-06-11,5.32,2020-06-22,2019,final
2019-05-08,1.7,2019-05-29,2018,final
2018-05-08,1.2,2018-05-31,2017,final
2017-05-08,1.26,2017-05-31,2016,final
2016-04-08,0.28,,2015,final
2015-06-05,0.2284,,2014,final
2014-05-06,0.064,,2013,final
