ex_date,dividend,payment_date
2024-06-12,21.0,2024-07-05
2023-06-12,14.5,2023-06-27
2022-06-13,10.5,2022-07-06
2021-06-17,7.4,2021-07-09
2020-07-07,6.6,2020-07-30
2019-06-13,5.0,2019-06-27
2018-06-26,2.0,2018-07-16
2017-07-10,1.06452,2017-07-20
2016-07-11,1.03495,
2015-06-30,0.94086,
2014-06-04,2.28682,
2013-07-03,0.91473,
2012-07-12,0.73178,
2011-07-12,0.73178,
2010-06-17,0.18295,
2009-06-25,0.18295,
2008-06-27,0.51225,
2007-07-20,0.54884,
2006-07-06,0.45736,
2005-06-23,0.3293,
2002-06-11,2.0124,
2001-06-28,0.91473,
2000-07-12,0.060982,
