ex_date,dividend,payment_date,fiscal_year,dividend_type
2025-06-12,11.25,2025-07-03,2024,final
2024-06-25,10.91,2024-07-12,2023,final
2023-06-20,10.3,2023-07-13,2022,final
2022-07-12,8.5,2022-08-04,2021,final
2021-06-23,7.11,2021-07-16,2020,final
2020-08-18,6.3,2020-09-09,2020,interim
2020-08-14,6.3,,2019,final
2019-05-28,9.4,2019-06-20,2018,final
2018-05-21,8.8,2018-06-08,2017,final
2017-05-30,5.3,2017-06-22,2016,final
2016-05-31,3.2,,2015,final
2015-08-06,1.0,,2015,interim
2015-06-01,3.46535,,2014,final
2014-06-24,6.43564,,2013,final
2013-06-19,5.32158,,2012,final
2012-05-22,2.78218,,2011,final
2011-10-12,1.30693,,2010,final
