ex_date,dividend,payment_date,fiscal_year,dividend_type
2024-07-02,180.0,2024-07-18,2023,final
2023-07-07,250.0,2023-07-18,2022,final
2022-07-22,150.0,2022-08-03,2021,final
2021-08-12,100.0,2021-08-26,2020,final
2020-07-08,100.0,2020-07-23,2019,final
2019-07-08,100.0,2019-07-25,2018,final
2018-04-25,120.0,2018-05-16,2017,final
2017-06-19,180.0,2017-07-07,2016,final
2016-07-01,80.0,,2015,final
2015-07-01,420.0,,2014,final
2014-08-12,115.0,,2013,final
2013-12-12,50.0,,2013,interim
2013-08-15,115.0,,2012,final
2012-08-13,100.0,,2011,final
2011-06-09,80.0,,2010,final
2010-07-26,50.0,,2009,final
2009-08-10,25.0,,2008,final
2008-08-13,25.0,,2007,final
2007-07-25,15.0,,2006,final
2005-07-26,7.5,,2005,interim
2005-07-20,5.0,,2004,final
2004-06-23,5.5,,2003,final
2003-08-11,9.0,,2003,interim
2003-02-10,10.0,,2002,final
2002-08-16,5.0,,2002,interim
2002-01-28,9.375,,2001,final
2001-08-09,5.625,,2000,final
2000-11-23,10.0,,1999,final
