ex_date,dividend,payment_date,fiscal_year,dividend_type
2024-06-26,2.0,2024-07-12,2023,final
2018-05-17,3.0,2018-06-08,2017,final
2016-07-01,3.5,,2015,final
2015-05-18,10.0,,2014,final
2014-06-30,10.0,,2013,final
2013-07-16,9.0,,2012,final
2012-06-29,23.21951,,2011,final
2011-08-25,9.7561,,2010,final
2010-08-06,9.7561,,2009,final
2009-07-10,8.13008,,2008,final
2008-09-02,7.31707,,2007,final
2007-09-11,5.69106,,2006,final
2006-11-06,1.62602,,2005,final
2005-12-14,1.78862,,2004,final
2004-11-04,3.73984,,2003,final
2003-09-03,3.25203,,2002,final
