ex_date,dividend,payment_date,fiscal_year,dividend_type
2025-11-14,4.0,2025-11-28,2025,interim
2025-08-14,3.0,2025-08-29,2025,interim
2025-06-23,4.0,2025-07-04,2024,final
2024-10-10,2.0,2024-10-31,2024,interim
2024-08-21,4.54,2024-09-11,2024,interim
2024-05-30,4.0,2024-06-20,2023,final
2023-11-16,2.0,2023-12-07,2023,interim
2023-07-03,2.0,2023-07-21,2022,final
2022-12-07,6.0,2022-12-21,2022,interim
2022-06-15,3.0,2022-07-06,2022,interim
2022-01-13,6.0,2022-01-20,2021,final
2020-12-07,2.0,2020-12-22,2019,final
