ex_date,dividend,payment_date,fiscal_year,dividend_type
2025-04-30,16.54,2025-05-22,2024,final
2024-05-13,4.95418,2024-05-30,2023,final
2023-05-25,114.59037,2023-05-31,2022,final
2021-05-11,1.152719,2021-06-03,2020,final
2020-04-22,10.84722,2020-05-15,2019,final
2019-05-02,12.35393,2019-05-24,2018,final
2018-04-24,6.215566,2018-05-18,2017,final
2015-04-28,0.21674,,2014,final
2014-06-27,0.8188,,2013,final
2013-08-15,0.7253,,2012,final
2012-04-23,19.214999,,2011,final
2011-07-28,11.955,,2010,final
2010-06-16,0.14303,,2009,final
2007-11-27,2.70,,2007,interim
2007-06-21,0.135,,2006,final
2005-11-15,3.0,,2005,interim
2005-07-06,1.0,,2004,final
2004-10-13,0.36,,2004,interim
2004-07-01,0.50,,2003,final
2003-07-03,0.50,,2002,final
2002-07-02,0.20,,2001,final
