ex_date,dividend,payment_date,fiscal_year,dividend_type
2025-05-22,60,2025-06-13,2024,final
2024-05-30,50,2024-06-20,2023,final
2023-06-06,50,2023-06-23,2022,final
2022-06-02,30,2022-06-23,2021,final
2020-08-28,50,2020-09-18,2019,final
2019-06-12,50,2019-06-27,2018,final
2018-06-06,40,2018-06-29,2017,final
2017-05-24,36,2017-06-16,2016,final
2016-05-30,30,,2015,final
2015-06-09,27,,2014,final
2014-06-18,30,,2013,final
2013-07-02,30,,2012,final
2012-06-18,30,,2011,final
2011-06-20,30,,2010,final
2010-06-21,25,,2009,final
2009-06-22,31,,2008,final
2008-06-23,31,,2007,final
2007-06-22,22,,2006,final
2006-07-17,22,,2005,final
2005-07-11,30,,2004,final
