ex_date,dividend,payment_date,fiscal_year,dividend_type
2026-01-09,200.0,2026-01-21,2025,interim
2025-06-30,278.0,2025-07-10,2024,final
2024-12-30,151.0,2025-01-15,2024,interim
2024-07-03,360.0,2024-07-23,2023,final
2023-12-22,745.0,2024-01-12,2023,interim
2023-07-04,725.0,2023-07-14,2022,final
2023-01-10,280.0,2023-01-27,2022,interim
2022-06-21,465.0,2022-06-29,2021,final
2021-08-02,135.0,2021-08-20,2020,final
2020-08-25,90.0,2020-09-09,2019,final
2019-07-08,90.0,2019-07-24,2018,final
2018-07-02,55.0,2018-07-26,2017,final
2017-06-20,90.0,2017-07-14,2016,final
2016-07-13,75.0,,2015,final
2015-07-06,85.0,,2014,final
2014-08-25,105.0,,2013,final
2001-07-18,17.5,,2000,final
