ex_date,dividend,payment_date,fiscal_year,dividend_type
2023-07-05,3.5,2023-07-27,2022,final
2022-08-05,4.0,2022-08-26,2021,final
2021-08-09,5.0,2021-09-01,2020,final
2020-08-18,6.0,2020-09-09,2019,final
2019-07-08,6.0,2019-07-31,2018,final
2018-07-06,5.0,2018-08-01,2017,final
2017-06-30,6.0,,2017,interim
2017-06-22,6.0,2017-07-14,2016,final
2016-07-14,7.5,,2015,final
2015-07-08,10.0,,2014,final
2014-08-13,7.5,,2013,final
2013-11-08,7.5,,2012,final
2012-07-03,4.0,,2011,final
2011-07-20,8.0,,2010,final
2010-06-24,12.0,,2009,final
2009-06-24,12.0,,2008,final
2008-06-27,12.0,,2007,final
2007-06-20,8.0,,2006,final
