ex_date,dividend,payment_date,fiscal_year,dividend_type
2024-11-05,18.0,2024-11-20,2024,interim
2024-05-28,18.0,2024-06-06,2023,final
2023-11-01,12.6,2023-11-20,2023,interim
2023-04-10,23.0,2023-04-28,2022,final
2022-11-08,13.5,2022-11-18,2022,interim
2022-04-08,22.7,2022-04-28,2021,final
2021-08-16,15.18409,2021-08-27,2021,interim
2021-04-12,18.75681,2021-04-29,2020,final
2020-11-03,12.4053,2020-11-18,2020,interim
2020-04-20,13.39772,2020-05-05,2019,final
2019-11-01,10.91666,2019-11-20,2019,interim
2019-04-18,21.0,2019-05-02,2018,final
2018-11-02,7.44318,2018-11-28,2018,interim
2018-06-08,14.39015,2018-07-04,2017,final
2017-05-29,12.90151,2017-06-16,2016,final
2016-05-26,12.4053,,2015,final
2015-05-22,11.90909,,2014,final
2014-05-20,13.39772,,2013,final
