ex_date,dividend,payment_date,fiscal_year,dividend_type
2025-06-23,9.0,2025-07-11,2024,final
2024-07-01,9.0,2024-07-19,2023,final
2023-06-26,7.0,2023-07-14,2022,final
2022-07-18,6.0,2022-08-05,2021,final
2019-07-01,4.84485,2019-07-19,2018,final
2018-06-26,4.84485,2018-07-06,2017,final
2017-07-03,4.84485,2017-07-19,2016,final
2016-07-01,4.84485,,2015,final
2015-06-18,19.37939,,2014,final
2014-07-11,22.2863,,2013,final
2013-06-27,20.83285,,2012,final
2012-06-28,11.14315,,2011,final
2011-06-30,4.84485,,2010,final
2010-05-31,3.87588,,2009,final
2009-07-01,1.45346,,2008,final
2008-05-22,5.32933,,2007,final
2007-06-11,3.14915,,2006,final
2006-07-14,2.59545,,2005,final
2005-07-18,3.11455,,2004,final
2004-07-19,2.59545,,2003,final
2003-07-16,1.7303,,2002,final
