ex_date,dividend,payment_date,fiscal_year,dividend_type
2025-11-25,35,2025-12-12,2025,interim
2025-06-13,35,2025-06-26,2024,final
2024-11-22,35,2024-12-10,2024,interim
2024-06-14,25,2024-06-28,2023,final
2023-11-24,25,2023-12-14,2023,interim
2023-06-07,25,2023-06-16,2022,final
2022-11-24,25,2022-12-14,2022,interim
2022-06-23,25,2022-07-08,2021,final
2021-11-23,25,2021-12-10,2021,interim
2021-06-08,10,2021-06-18,2020,final
2020-11-23,20,2020-12-15,2020,interim
2020-06-23,20,2020-07-06,2019,final
2019-11-19,20,2019-12-12,2019,interim
2019-06-12,18,2019-06-27,2018,final
2018-11-19,20,2018-12-12,2017,final
