ex_date,dividend,payment_date,fiscal_year,dividend_type
2024-12-12,25.0,2024-12-27,2024,interim
2024-06-10,30.20404,2024-07-03,2023,final
2023-12-13,25.0,2023-12-27,2023,interim
2023-06-13,35.3455,2023-07-05,2022,final
2022-06-03,36.0,2022-06-22,2021,final
2021-04-09,32.0,2021-04-29,2020,final
2020-06-02,28.0,2020-06-19,2019,final
2019-05-31,27.7379,2019-06-21,2018,final
2018-05-08,33.82152,2018-05-24,2017,final
2017-05-26,29.90664,2017-06-13,2016,final
2016-08-25,14.45975,,2016,interim
2016-05-19,11.41479,,2015,final
2014-06-04,12.2,,2013,final
2013-09-19,12.0,,2012,final
2011-06-13,5.0,,2010,final
