ex_date,dividend,payment_date,fiscal_year,dividend_type
2024-05-27,40.0,2024-06-14,2023,final
2023-05-22,100.0,2023-06-09,2022,final
2022-06-13,25.0,2022-07-06,2021,final
2021-05-18,10.0,2021-06-04,2021,interim
2021-05-11,10.0,,2020,final
2020-07-24,10.0,2020-08-14,2019,final
2019-05-13,40.0,2019-05-29,2018,final
2018-05-15,50.0,2018-06-06,2017,final
2017-05-16,45.0,2017-06-08,2016,final
2016-06-02,40.0,,2015,final
2015-05-11,30.0,,2014,final
2014-05-20,35.0,,2013,final
2013-05-21,29.33,,2012,final
2012-06-05,44.0,,2011,final
2011-05-23,14.67,,2010,final
2010-06-10,7.5,,2009,final
2009-05-11,1.6129,,2008,final
2008-08-29,6.04839,,2007,final
2007-05-30,12.09677,,2006,final
