ex_date,dividend,payment_date,fiscal_year,dividend_type
2024-05-21,5.5764,2024-06-12,2023,final
2023-05-29,5.13574,2023-06-21,2022,final
2022-04-27,1.82449,2022-05-20,2021,final
2021-06-23,12.945,2021-07-16,2021,interim
2021-04-26,7.9,2021-05-04,2020,final
2019-10-25,1.31,2019-11-01,2019,interim
2019-05-22,5.17,2019-06-14,2018,final
2018-10-01,5.985,2018-10-24,2018,interim
2018-05-02,10.1525,2018-05-22,2017,final
2017-10-30,8.2385,2017-11-08,2017,interim
2017-05-10,23.27722,2017-05-23,2016,final
2016-09-05,6.51222,,2016,interim
2016-06-14,2.11299,,2015,final
2015-06-16,0.89771,,2014,final
2014-06-24,0.45499,,2013,final
2011-10-17,0.71169,,2010,final
2010-11-12,3.19034,,2010,interim
2010-04-12,2.45411,,2009,final
2009-12-07,7.36233,,2008,final
2008-07-17,9.81643,,2007,final
