ex_date,dividend,payment_date,fiscal_year,dividend_type
2025-09-08,2.28,2025-09-26,2025,interim
2025-04-28,4.93,2025-05-21,2024,final
2024-10-10,2.2457,2024-10-29,2024,interim
2024-05-13,3.73999,2024-05-31,2023,final
2023-11-17,2.76,2023-12-01,2023,interim
2023-04-26,6.5,2023-05-12,2022,final
2022-05-17,1.75,2022-05-27,2021,final
2021-06-08,0.31839,2021-06-30,2020,final
2020-06-24,1.5,2020-07-17,2019,final
2019-05-09,2.0,2019-05-31,2018,final
2018-05-02,5.0,2018-05-25,2017,final
2017-05-05,5.0,2017-05-26,2016,final
2016-04-26,8.0,,2015,final
2015-04-28,9.5,,2014,final
2014-04-30,9.5,,2013,final
2013-05-02,9.0,,2012,final
