ex_date,dividend,payment_date,fiscal_year,dividend_type
2025-10-08,567.0,2025-10-24,2025,interim
2025-05-07,1484.0,2025-05-28,2024,final
2024-10-08,667.0,2024-10-24,2024,interim
2024-05-06,1569.0,2024-05-22,2023,final
2023-10-11,701.0,2023-10-24,2023,interim
2023-04-28,6185.0,2023-05-12,2022,final
2022-10-05,818.0,2022-10-24,2022,interim
2022-04-20,905.0,2022-05-11,2021,final
2021-10-07,335.0,2021-10-22,2021,interim
2021-04-20,473.0,2021-05-11,2020,final
2020-10-07,171.0,2020-10-20,2020,interim
2020-06-22,805.0,2020-07-03,2019,final
2019-10-08,408.0,2019-10-23,2019,interim
2019-04-29,828.0,2019-05-17,2018,final
2018-10-05,365.0,2018-10-22,2018,interim
2018-04-24,611.0,2018-05-15,2017,final
2017-10-06,282.0,2017-10-23,2017,interim
2017-04-26,393.0,2017-05-12,2016,final
2016-09-29,143.0,,2016,interim
2016-05-03,440.0,,2015,final
2015-09-29,251.0,,2015,interim
2015-04-29,545.0,,2014,final
2014-10-10,195.0,,2014,interim
2014-05-16,340.0,,2013,final
2013-10-03,175.0,,2013,interim
2013-05-15,410.0,,2012,final
2012-10-17,210.0,,2012,interim
2012-05-14,450.0,,2011,final
2011-10-28,185.0,,2011,interim
2011-06-01,270.0,,2010,final
2010-10-28,153.8284,,2010,interim
2010-06-15,317.2711,,2009,final
2009-10-30,124.98558,,2009,interim
2009-06-12,211.51405,,2008,final
2008-10-24,96.14275,,2008,interim
2008-06-11,137.9856,,2007,final
2007-10-11,55.19424,,2007,interim
2007-06-21,78.19184,,2006,final
2006-10-16,41.39568,,2006,interim
2006-06-13,101.18944,,2005,final
2005-06-23,32.19664,,2004,final
2004-12-01,18.39808,,2003,final
