ex_date,dividend,payment_date,fiscal_year,dividend_type
2024-12-05,41.0,2024-12-19,2024,interim
2024-07-01,77.0,2024-07-18,2023,final
2023-12-05,63.0,2023-12-19,2023,interim
2023-07-06,71.0,2023-07-20,2022,final
2022-11-30,69.0,2022-12-15,2022,interim
2022-06-24,84.0,2022-07-13,2021,final
2021-11-30,66.0,2021-12-16,2021,interim
2021-06-08,100.0,2021-06-24,2020,final
2020-12-01,87.0,2020-12-17,2020,interim
2020-08-05,107.0,2020-08-19,2019,final
2019-12-03,86.0,2019-12-18,2019,interim
2019-05-31,155.0,2019-06-18,2018,final
2018-11-16,82.0,2018-12-05,2018,interim
2018-06-04,101.0,2018-06-22,2017,final
2017-11-30,82.0,2017-12-20,2017,interim
2017-07-06,92.0,2017-07-20,2016,final
2016-12-06,75.0,,2016,interim
2016-06-22,84.8,,2015,final
2015-12-02,68.4,,2015,interim
2015-06-16,83.2,,2014,final
2014-12-03,67.2,,2014,interim
2014-06-27,74.2,,2013,final
2013-12-03,66.0,,2013,interim
2013-07-01,66.8,,2012,final
2012-12-11,60.0,,2012,interim
2012-06-28,59.2,,2011,final
2011-12-07,50.0,,2011,interim
2011-06-28,68.8,,2010,final
2010-11-29,20.0,,2010,interim
2010-06-29,59.8,,2009,final
2009-11-26,20.0,,2009,interim
2009-06-29,44.0,,2008,final
2008-11-27,19.0,,2008,interim
2008-06-27,33.4,,2007,final
2007-11-29,18.0,,2007,interim
2007-06-25,25.0,,2006,final
2006-11-30,16.0,,2006,interim
2006-06-23,24.0,,2005,final
2005-12-06,12.0,,2005,interim
2005-07-11,16.0,,2005,interim
2005-03-07,12.0,,2004,final
2004-12-02,14.0,,2004,interim
2004-07-16,16.0,,2004,interim
2004-02-18,10.0,,2003,final
2003-11-13,14.0,,2002,final
