ex_date,dividend,payment_date,fiscal_year,dividend_type
2020-06-17,43.29336,2020-07-09,2019,final
2019-05-10,32.80023,2019-05-28,2018,final
2018-05-03,22.78742,2018-05-25,2017,final
2017-03-27,28.77158,2017-04-18,2016,final
2016-05-10,16.01195,,2015,final
2015-04-30,15.75867,,2015,interim
2015-04-23,18.54749,,2014,final
2014-04-29,21.9326,,2013,final
2013-05-30,17.63439,,2012,final
2012-05-24,13.81513,,2011,final
2011-06-07,13.44217,,2010,final
2010-05-31,7.8826,,2009,final
2009-06-19,6.31823,,2008,final
2008-06-09,4.69736,,2007,final
