date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2011-03-31,ABMM,USD,2011,Q1,139903665,29074382,6590358
2011-06-30,ABMM,USD,2011,Q2,181446097,38077795,14032136
2011-09-30,ABMM,USD,2011,Q3,194549613,41951570,12785023
2011-12-31,ABMM,USD,2011,Q4,215641385,43437810,12174766
2012-03-31,ABMM,USD,2012,Q1,200174234,41617227,5052575
2012-06-30,ABMM,USD,2012,Q2,230223809,47974880,8669479
2012-09-30,ABMM,USD,2012,Q3,224944795,51669622,5353113
2012-12-31,ABMM,USD,2012,Q4,231628586,31006578,-5437557
2013-03-31,ABMM,USD,2013,Q1,213244277,38481846,15780374
2013-06-30,ABMM,USD,2013,Q2,209606120,53148456,4678202
2013-09-30,ABMM,USD,2013,Q3,176813878,47246033,-4060316
2013-12-31,ABMM,USD,2013,Q4,177355305,37150855,-11791680
2014-03-31,ABMM,USD,2014,Q1,172576512,42285758,5889643
2014-06-30,ABMM,USD,2014,Q2,188023174,42657504,-1219734
2014-09-30,ABMM,USD,2014,Q3,176850439,43342710,-972978
2014-12-31,ABMM,USD,2014,Q4,186170343,21603996,-117359161
2015-03-31,ABMM,USD,2015,Q1,163061547,30243881,-1008204
2015-06-30,ABMM,USD,2015,Q2,175668111,35501930,5271755
2015-09-30,ABMM,USD,2015,Q3,159021713,28874070,-7326154
2015-12-31,ABMM,USD,2015,Q4,156834513,32542990,-34989563
2016-03-31,ABMM,USD,2016,Q1,146039567,33917788,7068732
2016-06-30,ABMM,USD,2016,Q2,133909077,26374459,2037740
2016-09-30,ABMM,USD,2016,Q3,145868319,36161142,7485747
2016-12-31,ABMM,USD,2016,Q4,164879012,31456870,-3954035
2017-03-31,ABMM,USD,2017,Q1,169042518,44716485,14263897
2017-06-30,ABMM,USD,2017,Q2,161281126,30414597,12248396
2017-09-30,ABMM,USD,2017,Q3,170570209,36429188,-16971161
2017-12-31,ABMM,USD,2017,Q4,189839140,39834758,-3969362
2018-03-31,ABMM,USD,2018,Q1,184558617,42598724,6910574
2018-06-30,ABMM,USD,2018,Q2,192242146,49046707,8363797
2018-09-30,ABMM,USD,2018,Q3,204686200,48410121,14974185
2018-12-31,ABMM,USD,2018,Q4,191570168,34158580,35244026
2019-03-31,ABMM,USD,2019,Q1,144904626,22153871,-199756
2019-06-30,ABMM,USD,2019,Q2,141577563,28730252,5435328
2019-09-30,ABMM,USD,2019,Q3,156928783,27923579,6060076
2019-12-31,ABMM,USD,2019,Q4,148983980,29023059,-3739203
2020-03-31,ABMM,USD,2020,Q1,161743508,28544081,1796294
2020-06-30,ABMM,USD,2020,Q2,128364563,10981302,-5219626
2020-09-30,ABMM,USD,2020,Q3,152055142,28329358,-1949669
2020-12-31,ABMM,USD,2020,Q4,164244163,33660272,-30286426
2021-03-31,ABMM,USD,2021,Q1,210889559,58530707,25887184
2021-06-30,ABMM,USD,2021,Q2,218715836,65427853,29086116
2021-09-30,ABMM,USD,2021,Q3,273211090,105111764,39480969
2021-12-31,ABMM,USD,2021,Q4,319048989,137286454,53549598
2022-03-31,ABMM,USD,2022,Q1,286701627,101073294,52702423
2022-06-30,ABMM,USD,2022,Q2,365508366,143152793,88158009
2022-09-30,ABMM,USD,2022,Q3,376878371,147951621,74435913
2022-12-31,ABMM,USD,2022,Q4,416439007,129726563,99986796
2023-03-31,ABMM,USD,2023,Q1,387862793,129948030,106036405
2023-06-30,ABMM,USD,2023,Q2,375321302,111906450,82488514
2023-09-30,ABMM,USD,2023,Q3,370411269,78409783,37245472
2023-12-31,ABMM,USD,2023,Q4,359403492,71781766,63230166
2024-03-31,ABMM,USD,2024,Q1,270703950,33780128,50604802
2024-06-30,ABMM,USD,2024,Q2,303204167,28816704,40640634
2024-09-30,ABMM,USD,2024,Q3,319612444,61740562,20700018
2024-12-31,ABMM,USD,2024,Q4,306611893,6854224,27423059
2025-03-31,ABMM,USD,2025,Q1,250022267,7992492,21452061
2025-06-30,ABMM,USD,2025,Q2,256869007,22261117,6294206
2025-09-30,ABMM,USD,2025,Q3,270011000,30514000,14385000
2025-12-31,ABMM,USD,2025,Q4,256312589,38445996,28209536
2026-03-31,ABMM,USD,2026,Q1,222655357,12863329,14426495
2026-06-30,ABMM,USD,2026,Q2,283548061,25692452,24957134
