date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2022-03-31,ACRO,IDR,2022,Q1,13314834521,4219625467,860209457
2022-06-30,ACRO,IDR,2022,Q2,13314834521,4219625468,860209456
2022-09-30,ACRO,IDR,2022,Q3,12438013865,2603442499,377083380
2022-12-31,ACRO,IDR,2022,Q4,12438013865,2603442499,377083380
2023-03-31,ACRO,IDR,2023,Q1,12634293483,3513845875,1069405567
2023-06-30,ACRO,IDR,2023,Q2,10132996652,6245757129,3089114624
2023-09-30,ACRO,IDR,2023,Q3,7966117284,3739526178,499125803
2023-12-31,ACRO,IDR,2023,Q4,7966117284,3739526178,499125803
2024-03-31,ACRO,IDR,2024,Q1,13168704000,6000042000,2792640000
2024-06-30,ACRO,IDR,2024,Q2,10060745000,4258022000,1880775000
2024-09-30,ACRO,IDR,2024,Q3,9126530000,6166306000,3723464000
2024-12-31,ACRO,IDR,2024,Q4,11368790515,4044508408,715395175
2025-03-31,ACRO,IDR,2025,Q1,13921920000,6141028000,3435276000
2025-06-30,ACRO,IDR,2025,Q2,5620460232,1538582107,1096807535
2025-12-31,ACRO,IDR,2025,Q4,11681030000,5737825000,1897769000
2026-03-31,ACRO,IDR,2026,Q1,11737006000,4719756000,1694609000
