date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2013-03-31,ACST,IDR,2013,Q1,168155753103,31077360172,15514241509
2013-06-30,ACST,IDR,2013,Q2,219643917417,43748425869,17936394939
2013-09-30,ACST,IDR,2013,Q3,202165285080,41109640123,13538597179
2013-12-31,ACST,IDR,2013,Q4,424537074570,86219968608,52368487477
2014-03-31,ACST,IDR,2014,Q1,261637906000,44085402000,22389515000
2014-06-30,ACST,IDR,2014,Q2,343885637000,69345046000,28827005000
2014-09-30,ACST,IDR,2014,Q3,252136440518,57876099012,17871732004
2014-12-31,ACST,IDR,2014,Q4,493247898170,77632576971,35601424889
2015-03-31,ACST,IDR,2015,Q1,313352862000,51820685000,12116354000
2015-06-30,ACST,IDR,2015,Q2,238959376000,32537778000,-6878470000
2015-09-30,ACST,IDR,2015,Q3,300203821000,55285846000,7741593000
2015-12-31,ACST,IDR,2015,Q4,504351941000,84729691000,28938523000
2016-03-31,ACST,IDR,2016,Q1,457683000000,73078000000,19283000000
2016-06-30,ACST,IDR,2016,Q2,486005000000,73221000000,13562000000
2016-09-30,ACST,IDR,2016,Q3,346752000000,55710000000,7447000000
2016-12-31,ACST,IDR,2016,Q4,503562000000,77630000000,28037000000
2017-03-31,ACST,IDR,2017,Q1,506221000000,78244000000,30617000000
2017-06-30,ACST,IDR,2017,Q2,516403000000,92149000000,33540000000
2017-09-30,ACST,IDR,2017,Q3,922480000000,148507000000,47118000000
2017-12-31,ACST,IDR,2017,Q4,1081885000000,147000000000,42970000000
2018-03-31,ACST,IDR,2018,Q1,733726000000,145110000000,38927000000
2018-06-30,ACST,IDR,2018,Q2,925145000000,182195000000,34517000000
2018-09-30,ACST,IDR,2018,Q3,1074861000000,200199000000,17794000000
2018-12-31,ACST,IDR,2018,Q4,991564000000,171783000000,-72953000000
2019-03-31,ACST,IDR,2019,Q1,806673000000,99140000000,-90696000000
2019-06-30,ACST,IDR,2019,Q2,738624000000,-125234000000,-313735000000
2019-09-30,ACST,IDR,2019,Q3,1524210000000,-105677000000,-347883000000
2019-12-31,ACST,IDR,2019,Q4,877666000000,31963000000,-383922000000
2020-03-31,ACST,IDR,2020,Q1,477610000000,-12829000000,-124444000000
2020-06-30,ACST,IDR,2020,Q2,271135000000,53580000000,-127751000000
2020-09-30,ACST,IDR,2020,Q3,211980000000,-273662000000,-501186000000
2020-12-31,ACST,IDR,2020,Q4,243704000000,-62930000000,-569828000000
2021-03-31,ACST,IDR,2021,Q1,381051000000,-20443000000,-79683000000
2021-06-30,ACST,IDR,2021,Q2,263018000000,-31658000000,-73489000000
2021-09-30,ACST,IDR,2021,Q3,436550000000,-88288000000,-232643000000
2021-12-31,ACST,IDR,2021,Q4,414052000000,-7298000000,-309734000000
2022-03-31,ACST,IDR,2022,Q1,290112000000,5437000000,-25198000000
2022-06-30,ACST,IDR,2022,Q2,218593000000,-53269000000,-92080000000
2022-09-30,ACST,IDR,2022,Q3,285060000000,-81100000000,-113502000000
2022-12-31,ACST,IDR,2022,Q4,243105000000,-183015000000,-220833000000
2023-03-31,ACST,IDR,2023,Q1,360350000000,12904000000,-30544000000
2023-06-30,ACST,IDR,2023,Q2,470941000000,19649000000,-25257000000
2023-09-30,ACST,IDR,2023,Q3,749121000000,-13388000000,-96111000000
2023-12-31,ACST,IDR,2023,Q4,769226000000,-59206000000,-118920000000
2024-03-31,ACST,IDR,2024,Q1,549863000000,4657000000,-42494000000
2024-06-30,ACST,IDR,2024,Q2,580386000000,-37404000000,-93494000000
2024-09-30,ACST,IDR,2024,Q3,980688000000,-22840000000,-150082000000
2024-12-31,ACST,IDR,2024,Q4,1061375000000,-146512000000,-261254000000
2025-03-31,ACST,IDR,2025,Q1,713613000000,55492000000,-3900000000
2025-06-30,ACST,IDR,2025,Q2,503464000000,44594000000,-27925000000
2025-09-30,ACST,IDR,2025,Q3,602740000000,42063000000,-72560000000
2025-12-31,ACST,IDR,2025,Q4,550538000000,8598000000,-590179000000
2026-03-31,ACST,IDR,2026,Q1,466102000000,,-8002000000
2026-06-30,ACST,IDR,2026,Q2,425718000000,,-266186000000
