date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2012-09-30,ADMF,IDR,2012,Q3,1008137000000,1008137000000,358925000000
2012-12-31,ADMF,IDR,2012,Q4,1041440000000,1041440000000,308878000000
2013-03-31,ADMF,IDR,2013,Q1,972339000000,972339000000,335925000000
2013-06-30,ADMF,IDR,2013,Q2,1130145000000,1130145000000,422966000000
2013-09-30,ADMF,IDR,2013,Q3,1147841000000,1147841000000,478120000000
2013-12-31,ADMF,IDR,2013,Q4,1352921000000,473636000000,470194000000
2014-03-31,ADMF,IDR,2014,Q1,1469387000000,507375000000,410845000000
2014-06-30,ADMF,IDR,2014,Q2,1424740000000,444959000000,130736000000
2014-09-30,ADMF,IDR,2014,Q3,1533182000000,495792000000,146628000000
2014-12-31,ADMF,IDR,2014,Q4,1527685000000,507728000000,103956000000
2015-03-31,ADMF,IDR,2015,Q1,1467520000000,458705000000,76083000000
2015-06-30,ADMF,IDR,2015,Q2,1465700000000,481133000000,121874000000
2015-09-30,ADMF,IDR,2015,Q3,1533970000000,618015000000,225332000000
2015-12-31,ADMF,IDR,2015,Q4,1551328000000,691792000000,241547000000
2016-03-31,ADMF,IDR,2016,Q1,1548369000000,661049000000,285598000000
2016-06-30,ADMF,IDR,2016,Q2,1586931000000,719186000000,307006000000
2016-09-30,ADMF,IDR,2016,Q3,1641554000000,758446000000,311220000000
2016-12-31,ADMF,IDR,2016,Q4,1689861000000,779886000000,105527000000
2017-03-31,ADMF,IDR,2017,Q1,1725813000000,812780000000,327723000000
2017-06-30,ADMF,IDR,2017,Q2,1785607000000,872064000000,353745000000
2017-09-30,ADMF,IDR,2017,Q3,1882379000000,963291000000,410284000000
2017-12-31,ADMF,IDR,2017,Q4,1933047000000,1034923000000,317398000000
2018-03-31,ADMF,IDR,2018,Q1,2003016000000,1119541000000,442934000000
2018-06-30,ADMF,IDR,2018,Q2,2049388000000,1124349000000,430815000000
2018-09-30,ADMF,IDR,2018,Q3,2127301000000,1331623000000,478109000000
2018-12-31,ADMF,IDR,2018,Q4,2186694000000,1099316000000,463405000000
2019-03-31,ADMF,IDR,2019,Q1,2224627000000,1276956000000,462300000000
2019-06-30,ADMF,IDR,2019,Q2,2273763000000,1307784000000,486639000000
2019-09-30,ADMF,IDR,2019,Q3,2333502000000,1339387000000,469365000000
2019-12-31,ADMF,IDR,2019,Q4,2350980000000,1377909000000,690387000000
2020-03-31,ADMF,IDR,2020,Q1,2329700000000,1356217000000,520105000000
2020-06-30,ADMF,IDR,2020,Q2,1867743000000,930063000000,76944000000
2020-09-30,ADMF,IDR,2020,Q3,2260988000000,1379859000000,217160000000
2020-12-31,ADMF,IDR,2020,Q4,1310707000000,495688000000,211364000000
2021-03-31,ADMF,IDR,2021,Q1,1634127000000,850574000000,211106000000
2021-06-30,ADMF,IDR,2021,Q2,1699893000000,942081000000,262383000000
2021-09-30,ADMF,IDR,2021,Q3,1666755000000,942004000000,279786000000
2021-12-31,ADMF,IDR,2021,Q4,1657501000000,919511000000,459425000000
2022-03-31,ADMF,IDR,2022,Q1,1648968000000,888537000000,304571000000
2022-06-30,ADMF,IDR,2022,Q2,1636510000000,877809000000,356601000000
2022-09-30,ADMF,IDR,2022,Q3,1646002000000,961696000000,484863000000
2022-12-31,ADMF,IDR,2022,Q4,1676437000000,1007792000000,459520000000
2023-03-31,ADMF,IDR,2023,Q1,1806004000000,1033497000000,417035000000
2023-06-30,ADMF,IDR,2023,Q2,1904130000000,1090326000000,401422000000
2023-09-30,ADMF,IDR,2023,Q3,1956583000000,1170903000000,524290000000
2023-12-31,ADMF,IDR,2023,Q4,1960326000000,1089935000000,601300000000
2024-03-31,ADMF,IDR,2024,Q1,1998907000000,1219931000000,432112000000
2024-06-30,ADMF,IDR,2024,Q2,2021258000000,1121051000000,333086000000
2024-09-30,ADMF,IDR,2024,Q3,1977629000000,1025705000000,349231000000
2024-12-31,ADMF,IDR,2024,Q4,1943944000000,998619000000,292253000000
2025-03-31,ADMF,IDR,2025,Q1,1896914000000,1006796000000,278520000000
2025-06-30,ADMF,IDR,2025,Q2,1882612000000,1016779000000,323133000000
2025-09-30,ADMF,IDR,2025,Q3,2399307000000,1648374000000,336946000000
2025-12-31,ADMF,IDR,2025,Q4,5013132000000,3262989000000,606339000000
2026-03-31,ADMF,IDR,2026,Q1,3210455000000,2230136000000,484131000000
