date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2011-03-31,ADMG,USD,2011,Q1,151039603,30577410,22776762
2011-12-31,ADMG,USD,2011,Q4,127764372,18075949,4134866
2012-03-31,ADMG,USD,2012,Q1,135925997,12904466,6646870
2012-06-30,ADMG,USD,2012,Q2,116449572,-1935008,1549214
2012-09-30,ADMG,USD,2012,Q3,102098274,7807041,-5935075.556898
2012-12-31,ADMG,USD,2012,Q4,133392601,1694070,6389034
2013-03-31,ADMG,USD,2013,Q1,141633721,8118720,2470189
2013-06-30,ADMG,USD,2013,Q2,122727730,-707068,-1532764
2013-09-30,ADMG,USD,2013,Q3,110008717,4663179,11181310
2013-12-31,ADMG,USD,2013,Q4,130949367,2615028,-11073062
2014-03-31,ADMG,USD,2014,Q1,129395177,-4720835,-10181108
2014-06-30,ADMG,USD,2014,Q2,115024234,-2913415,-1155209
2014-09-30,ADMG,USD,2014,Q3,114010005,-3843476,-3392243
2014-12-31,ADMG,USD,2014,Q4,90652781,-4321485,-9393850
2015-03-31,ADMG,USD,2015,Q1,87221130,-5205927,-7685397
2015-06-30,ADMG,USD,2015,Q2,78317465,-1088128,-951811
2015-09-30,ADMG,USD,2015,Q3,73715400,-3677732,-2979962
2015-12-31,ADMG,USD,2015,Q4,71619527,-4986892,-12530122
2016-03-31,ADMG,USD,2016,Q1,74119496,-6228795,-10083405
2016-06-30,ADMG,USD,2016,Q2,74269506,-6770238,-9388631
2016-09-30,ADMG,USD,2016,Q3,54142699,-5500554,-9643148
2016-12-31,ADMG,USD,2016,Q4,77422989,-1992299,8212821
2017-03-31,ADMG,USD,2017,Q1,102443433,5757168,2839350
2017-06-30,ADMG,USD,2017,Q2,75872785,-2888143,-6583682
2017-09-30,ADMG,USD,2017,Q3,94734494,1042165,-1781799
2017-12-31,ADMG,USD,2017,Q4,82046712,2091700,-2611952
2018-03-31,ADMG,USD,2018,Q1,108098797,3860755,2398805
2018-06-30,ADMG,USD,2018,Q2,95476226,3199132,7447684
2018-09-30,ADMG,USD,2018,Q3,94696597,1103411,-1111000
2018-12-31,ADMG,USD,2018,Q4,58364469,6429969,-9992218
2019-03-31,ADMG,USD,2019,Q1,68738651,-955415,-3114756
2019-06-30,ADMG,USD,2019,Q2,49805037,-5180179,-7184246
2019-09-30,ADMG,USD,2019,Q3,58751997,-6850665,-9682255
2019-12-31,ADMG,USD,2019,Q4,56095004,-5685612,-9610057
2020-03-31,ADMG,USD,2020,Q1,57048192,-2498955,-4370843
2020-06-30,ADMG,USD,2020,Q2,26018067,-3501913,-6567453
2020-09-30,ADMG,USD,2020,Q3,31469218,-6186849,-10449964
2020-12-31,ADMG,USD,2020,Q4,38177272,-5722870,-17279684
2021-03-31,ADMG,USD,2021,Q1,48995130,1079114,894276
2021-06-30,ADMG,USD,2021,Q2,42383642,-452543,4044818
2021-09-30,ADMG,USD,2021,Q3,51408692,-488070,-631924
2021-12-31,ADMG,USD,2021,Q4,47405087,-441595,-3550862
2022-03-31,ADMG,USD,2022,Q1,45516698,-361673,-5215223
2022-06-30,ADMG,USD,2022,Q2,42838292,175839,-7554917
2022-09-30,ADMG,USD,2022,Q3,29105853,-1371511,-7404453
2022-12-31,ADMG,USD,2022,Q4,25313077,-8640098,-6571663
2023-03-31,ADMG,USD,2023,Q1,32110181,-344002,-7727469
2023-06-30,ADMG,USD,2023,Q2,25470015,707451,-718838
2023-09-30,ADMG,USD,2023,Q3,20465709,-1365362,-2435350
2023-12-31,ADMG,USD,2023,Q4,26756775,-952909,-8236102
2024-03-31,ADMG,USD,2024,Q1,26988267,311357,-1442487
2024-06-30,ADMG,USD,2024,Q2,25616211,935269,-606375
2024-09-30,ADMG,USD,2024,Q3,25528609,-982270,-2100742
2024-12-31,ADMG,USD,2024,Q4,31542921,767746,-6041458
2025-03-31,ADMG,USD,2025,Q1,34490920,-232840,-1022103
2025-06-30,ADMG,USD,2025,Q2,33067361,1408240,1013742
2025-09-30,ADMG,USD,2025,Q3,38709028,168276,1064477
2025-12-31,ADMG,USD,2025,Q4,38369183,231420,-4198929.4
2026-03-31,ADMG,USD,2026,Q1,32179877,1040443,1897058
