date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2021-03-31,ADMR,USD,2021,Q1,63079946,14833976,8912456
2021-06-30,ADMR,USD,2021,Q2,101072220,46945969,25268751
2021-09-30,ADMR,USD,2021,Q3,67162249,29910538,14694964
2021-12-31,ADMR,USD,2021,Q4,228856333,148759809,106234567
2022-03-31,ADMR,USD,2022,Q1,182146662,119841780,83462484
2022-06-30,ADMR,USD,2022,Q2,253510991,167576086,118539068
2022-09-30,ADMR,USD,2022,Q3,230827375,127468329,82258762
2022-12-31,ADMR,USD,2022,Q4,241657018,120028465,47950194
2023-03-31,ADMR,USD,2023,Q1,238248569,134642854,84708718
2023-06-30,ADMR,USD,2023,Q2,225357883,118711501,78801287
2023-09-30,ADMR,USD,2023,Q3,257021540,126254669,86992890
2023-12-31,ADMR,USD,2023,Q4,365333929,203602887,190519000
2024-03-31,ADMR,USD,2024,Q1,274535673,157062040,116046877
2024-06-30,ADMR,USD,2024,Q2,332502289,172909363,132715521
2024-09-30,ADMR,USD,2024,Q3,233968454,106608168,84228395
2024-12-31,ADMR,USD,2024,Q4,313176291,141210511,103666080
2025-03-31,ADMR,USD,2025,Q1,199937386,82602983,65450053
2025-06-30,ADMR,USD,2025,Q2,244005648,97590181,75044774
2025-09-30,ADMR,USD,2025,Q3,227207000,85959000,62589000
2025-12-31,ADMR,USD,2025,Q4,297561062,127080025,66973568
2026-03-31,ADMR,USD,2026,Q1,265416662,124004852,87027842
