date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2009-03-31,ADRO,USD,2009,Q1,566144840,245186098,99258804
2009-06-30,ADRO,USD,2009,Q2,694783800,287116800,120590728
2009-09-30,ADRO,USD,2009,Q3,814089596,340203803,152018382
2009-12-31,ADRO,USD,2009,Q4,783105683,298614170,96649631
2010-03-31,ADRO,USD,2010,Q1,688812991,246369635,94454113
2010-06-30,ADRO,USD,2010,Q2,622328504,185392452,31669427
2010-09-30,ADRO,USD,2010,Q3,712533376,245399534,64335758
2010-12-31,ADRO,USD,2010,Q4,684744957,171043385,51967389
2011-03-31,ADRO,USD,2011,Q1,757234000,249900000,108937000
2011-06-30,ADRO,USD,2011,Q2,1013573000,348892000,158845000
2011-09-30,ADRO,USD,2011,Q3,1154088000,421572000,107543000
2011-12-31,ADRO,USD,2011,Q4,1062510000,408029000,176778000
2012-03-31,ADRO,USD,2012,Q1,915943000,300439000,121439000
2012-06-30,ADRO,USD,2012,Q2,1015486000,333141000,138602000
2012-09-30,ADRO,USD,2012,Q3,823405000,229143000,87959000
2012-12-31,ADRO,USD,2012,Q4,967655000,179899000,37347000
2013-03-31,ADRO,USD,2013,Q1,740580000,157703000,40722000
2013-06-30,ADRO,USD,2013,Q2,838792000,193557000,74470000
2013-09-30,ADRO,USD,2013,Q3,855484000,209076000,68509000
2013-12-31,ADRO,USD,2013,Q4,850286000,178850000,47530000
2014-03-31,ADRO,USD,2014,Q1,844699000,245307000,128133000
2014-06-30,ADRO,USD,2014,Q2,848441000,187356000,39770000
2014-09-30,ADRO,USD,2014,Q3,814321000,153397000,52566000
2014-12-31,ADRO,USD,2014,Q4,817983000,133940000,-42307000
2015-03-31,ADRO,USD,2015,Q1,710946000,165645000,59063000
2015-06-30,ADRO,USD,2015,Q2,687790000,133352000,60087000
2015-09-30,ADRO,USD,2015,Q3,713421000,137754000,60867000
2015-12-31,ADRO,USD,2015,Q4,572319000,106549000,-27577000
2016-03-31,ADRO,USD,2016,Q1,586441000,154079000,59687000
2016-06-30,ADRO,USD,2016,Q2,589372000,148609000,62426000
2016-09-30,ADRO,USD,2016,Q3,602458000,162887000,86995000
2016-12-31,ADRO,USD,2016,Q4,745968000,219701000,125513000
2017-03-31,ADRO,USD,2017,Q1,726547000,217586000,97135000
2017-06-30,ADRO,USD,2017,Q2,822736000,315079000,125258000
2017-09-30,ADRO,USD,2017,Q3,889638000,326765000,150061000
2017-12-31,ADRO,USD,2017,Q4,819412000,282072000,110843000
2018-03-31,ADRO,USD,2018,Q1,763959000,226373000,74434000
2018-06-30,ADRO,USD,2018,Q2,846332000,265629000,120949000
2018-09-30,ADRO,USD,2018,Q3,1056610000,386552000,117325000
2018-12-31,ADRO,USD,2018,Q4,952850000,331653000,105012000
2019-03-31,ADRO,USD,2019,Q1,846482000,264732000,118799000
2019-06-30,ADRO,USD,2019,Q2,928747000,299653000,178057000
2019-09-30,ADRO,USD,2019,Q3,878904000,234313000,109139000
2019-12-31,ADRO,USD,2019,Q4,803021000,165893000,-1805000
2020-03-31,ADRO,USD,2020,Q1,750465000,198398000,98177000
2020-06-30,ADRO,USD,2020,Q2,612460000,124486000,56916000
2020-09-30,ADRO,USD,2020,Q3,591595000,139405000,-45714000
2020-12-31,ADRO,USD,2020,Q4,580322000,114440000,37548000
2021-03-31,ADRO,USD,2021,Q1,691972000,189775000,71747000
2021-06-30,ADRO,USD,2021,Q2,870785000,309449000,98217000
2021-09-30,ADRO,USD,2021,Q3,1006361000,471550000,250939000
2021-12-31,ADRO,USD,2021,Q4,1423600000,798972000,512589000
2022-03-31,ADRO,USD,2022,Q1,1224672000,601888000,400070000
2022-06-30,ADRO,USD,2022,Q2,2316676000,1423185000,812588000
2022-09-30,ADRO,USD,2022,Q3,2371801000,1339978000,690743000
2022-12-31,ADRO,USD,2022,Q4,2189250000,1287921000,589679000
2023-03-31,ADRO,USD,2023,Q1,1838568000,763114000,458042000
2023-06-30,ADRO,USD,2023,Q2,1640714000,683049000,415793000
2023-09-30,ADRO,USD,2023,Q3,1501814000,541608000,345063000
2023-12-31,ADRO,USD,2023,Q4,1536460000,549513000,422539000
2024-03-31,ADRO,USD,2024,Q1,1442816000,627702000,374345000
2024-06-30,ADRO,USD,2024,Q2,1530019000,580023000,404428000
2024-09-30,ADRO,USD,2024,Q3,1478842000,548963000,404155000
2024-12-31,ADRO,USD,2024,Q4,-2372988000,-882689000,197085000
2025-03-31,ADRO,USD,2025,Q1,381619000,110335000,76697000
2025-06-30,ADRO,USD,2025,Q2,476071000,173935000,98246000
2025-09-30,ADRO,USD,2025,Q3,482015000,175265000,124459000
2025-12-31,ADRO,USD,2025,Q4,524921880,171975738,145984936
2026-03-31,ADRO,USD,2026,Q1,470905000,178556000,128137000
2026-06-30,ADRO,USD,2026,Q2,528337000,244128000,181232000
