date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2012-03-31,AGRO,IDR,2012,Q1,88234064000,50495805000,7663773000
2012-06-30,AGRO,IDR,2012,Q2,85432365000,55834780000,12293685000
2012-09-30,AGRO,IDR,2012,Q3,86042032000,55096849000,2296350000
2012-12-31,AGRO,IDR,2012,Q4,100717883000,65448165000,10772770000
2013-03-31,AGRO,IDR,2013,Q1,96805389000,52018046000,8532421000
2013-06-30,AGRO,IDR,2013,Q2,105010344000,63596328000,18374806000
2013-09-30,AGRO,IDR,2013,Q3,129815865000,83575144000,25461940000
2013-12-31,AGRO,IDR,2013,Q4,117232927000,54193244000,70541000
2014-03-31,AGRO,IDR,2014,Q1,141656620000,66294725000,16029654000
2014-06-30,AGRO,IDR,2014,Q2,158059146000,80180296000,14650808000
2014-09-30,AGRO,IDR,2014,Q3,160097539000,73151727000,9988224000
2014-12-31,AGRO,IDR,2014,Q4,177211511000,78245867000,21828270000
2015-03-31,AGRO,IDR,2015,Q1,191149981000,88821557000,20439237000
2015-06-30,AGRO,IDR,2015,Q2,211738987000,105457857000,19911841000
2015-09-30,AGRO,IDR,2015,Q3,206859855000,97940019000,12687820000
2015-12-31,AGRO,IDR,2015,Q4,226088083000,112679044000,27452982000
2016-03-31,AGRO,IDR,2016,Q1,230900040000,110816841000,27571560000
2016-06-30,AGRO,IDR,2016,Q2,236767634000,105305246000,19431682000
2016-09-30,AGRO,IDR,2016,Q3,270186433000,126701246000,35105510000
2016-12-31,AGRO,IDR,2016,Q4,297118215000,148735866000,20894400000
2017-03-31,AGRO,IDR,2017,Q1,290632863000,119577930000,36251286000
2017-06-30,AGRO,IDR,2017,Q2,308581902000,120797344000,13944728000
2017-09-30,AGRO,IDR,2017,Q3,335477946000,134067327000,51628654000
2017-12-31,AGRO,IDR,2017,Q4,375926728000,182371578000,38670867000
2018-03-31,AGRO,IDR,2018,Q1,382081322000,156927725000,67691577000
2018-06-30,AGRO,IDR,2018,Q2,410033591000,173561384000,63238609000
2018-09-30,AGRO,IDR,2018,Q3,432419643000,182799630000,35644122000
2018-12-31,AGRO,IDR,2018,Q4,478661210000,202169447000,37638315000
2019-03-31,AGRO,IDR,2019,Q1,506626586000,175508359000,61108042000
2019-06-30,AGRO,IDR,2019,Q2,507408960000,189016942000,17189089000
2019-09-30,AGRO,IDR,2019,Q3,583571862000,232733515000,-63005792000
2019-12-31,AGRO,IDR,2019,Q4,532370194000,171091674000,35770082000
2020-03-31,AGRO,IDR,2020,Q1,533647677000,188760865000,16703823000
2020-06-30,AGRO,IDR,2020,Q2,903122493000,594667661000,3300238000
2020-09-30,AGRO,IDR,2020,Q3,497593384000,145532127000,5396688000
2020-12-31,AGRO,IDR,2020,Q4,495929766000,240967246000,5859933000
2021-03-31,AGRO,IDR,2021,Q1,467360969000,237465805000,17866551000
2021-06-30,AGRO,IDR,2021,Q2,449901850000,257603374000,8352221000
2021-09-30,AGRO,IDR,2021,Q3,425257749000,215426644000,-1858046861000
2021-12-31,AGRO,IDR,2021,Q4,421099335000,320656663000,-1213873318000
2022-03-31,AGRO,IDR,2022,Q1,327496949000,231171227000,47711324000
2022-06-30,AGRO,IDR,2022,Q2,283976836000,206964549000,-32332138000
2022-09-30,AGRO,IDR,2022,Q3,623673530000,532803812000,17092963000
2022-12-31,AGRO,IDR,2022,Q4,410147292000,323095112000,-21011644000
2023-03-31,AGRO,IDR,2023,Q1,300558211000,191594983000,4371868000
2023-06-30,AGRO,IDR,2023,Q2,298072553000,203428771000,4903279000
2023-09-30,AGRO,IDR,2023,Q3,308385356000,209452825000,5397638000
2023-12-31,AGRO,IDR,2023,Q4,397874200000,313832955000,9678254000
2024-03-31,AGRO,IDR,2024,Q1,435152227000,318229023000,9162372000
2024-06-30,AGRO,IDR,2024,Q2,384733949000,274592966000,10862881000
2024-09-30,AGRO,IDR,2024,Q3,330239336000,216224992000,13858954000
2024-12-31,AGRO,IDR,2024,Q4,412281319000,296611614000,17007563000
2025-03-31,AGRO,IDR,2025,Q1,330853535000,211020189000,16923362000
2025-06-30,AGRO,IDR,2025,Q2,328104679000,202790646000,16013200000
2025-09-30,AGRO,IDR,2025,Q3,372752767000,199957808000,9042096000
2025-12-31,AGRO,IDR,2025,Q4,436404511000,-103233144000,-540591606000
2026-03-31,AGRO,IDR,2026,Q1,225805176000,54058035000,6790799000
2026-06-30,AGRO,IDR,2026,Q2,221467124000,55055188000,5221327000
