date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2009-03-31,AKRA,IDR,2009,Q1,1835297577000,232108985000,43711473000
2009-06-30,AKRA,IDR,2009,Q2,2101083390000,229976492000,66740129000
2009-09-30,AKRA,IDR,2009,Q3,2370549539000,258109961000,81389717000
2009-12-31,AKRA,IDR,2009,Q4,2652911466000,233435788000,148055048000
2010-03-31,AKRA,IDR,2010,Q1,2432741873000,222532540000,70247757000
2010-06-30,AKRA,IDR,2010,Q2,2788536986000,220616352000,70539042000
2010-09-30,AKRA,IDR,2010,Q3,3316665177000,236675751000,84554247000
2010-12-31,AKRA,IDR,2010,Q4,3657053430000,279859782000,113751046000
2011-03-31,AKRA,IDR,2011,Q1,4353331152000,221185168000,1812334768000
2011-06-30,AKRA,IDR,2011,Q2,4708002089000,246141624000,119035675000
2011-09-30,AKRA,IDR,2011,Q3,5321619584000,289553037000,207974329000
2011-12-31,AKRA,IDR,2011,Q4,4422996869000,261517789000,144735113000
2012-03-31,AKRA,IDR,2012,Q1,5140352801000,285344814000,160442286000
2012-06-30,AKRA,IDR,2012,Q2,5575309438000,336346507000,137203795000
2012-09-30,AKRA,IDR,2012,Q3,5588891593000,286838908000,184025429000
2012-12-31,AKRA,IDR,2012,Q4,5369400217000,352745702000,167642110000
2013-03-31,AKRA,IDR,2013,Q1,5438533040000,312695772000,157601591000
2013-06-30,AKRA,IDR,2013,Q2,5178030475000,326121066000,193314031000
2013-09-30,AKRA,IDR,2013,Q3,5554429243000,328754779000,174162779000
2013-12-31,AKRA,IDR,2013,Q4,6166935722000,400069280000,123171884000
2014-03-31,AKRA,IDR,2014,Q1,5630170957000,369594846000,180236707000
2014-06-30,AKRA,IDR,2014,Q2,5628010591000,431135610000,195725468000
2014-09-30,AKRA,IDR,2014,Q3,5730939371000,430451982000,202691322000
2014-12-31,AKRA,IDR,2014,Q4,5479206582000,500737816000,231440669000
2015-03-31,AKRA,IDR,2015,Q1,4801368028000,583663556000,295233770000
2015-06-30,AKRA,IDR,2015,Q2,5471614670000,565646097000,310007887000
2015-09-30,AKRA,IDR,2015,Q3,4760695288000,490227241000,240055889000
2015-12-31,AKRA,IDR,2015,Q4,4731143155000,576457261000,188332306000
2016-03-31,AKRA,IDR,2016,Q1,3572467161000,442605328000,255197305000
2016-06-30,AKRA,IDR,2016,Q2,3795508052000,567004282000,330364517000
2016-09-30,AKRA,IDR,2016,Q3,3584286393000,464807000000,207629777000
2016-12-31,AKRA,IDR,2016,Q4,4260329278000,400517437000,217594794000
2017-03-31,AKRA,IDR,2017,Q1,4341123643000,451600696000,258411495000
2017-06-30,AKRA,IDR,2017,Q2,4879776420000,601198008000,330016051000
2017-09-30,AKRA,IDR,2017,Q3,4208330109000,364606538000,429224009000
2017-12-31,AKRA,IDR,2017,Q4,4858705362000,449876206000,184015614000
2018-03-31,AKRA,IDR,2018,Q1,5833625699000,415686539000,929004175000
2018-06-30,AKRA,IDR,2018,Q2,5380695747000,415361900000,192021146000
2018-09-30,AKRA,IDR,2018,Q3,5614257121000,382713887000,176577039000
2018-12-31,AKRA,IDR,2018,Q4,6719565550000,340803924000,347231710000
2019-03-31,AKRA,IDR,2019,Q1,5037501930000,432975765000,201556979000
2019-06-30,AKRA,IDR,2019,Q2,4676760261000,404445772000,189208051000
2019-09-30,AKRA,IDR,2019,Q3,5404693618000,447441272000,174482044000
2019-12-31,AKRA,IDR,2019,Q4,6583681764000,607258724000,151958063000
2020-03-31,AKRA,IDR,2020,Q1,6345471603000,557729871000,227773761000
2020-06-30,AKRA,IDR,2020,Q2,3655640197000,466224794000,203796609000
2020-09-30,AKRA,IDR,2020,Q3,3861894334000,449639599000,233838271000
2020-12-31,AKRA,IDR,2020,Q4,3852921977000,574325782000,259509824000
2021-03-31,AKRA,IDR,2021,Q1,5111333502000,634772172000,305312330000
2021-06-30,AKRA,IDR,2021,Q2,5594972364000,457505067000,245078182000
2021-09-30,AKRA,IDR,2021,Q3,6543220716000,485745519000,246595405000
2021-12-31,AKRA,IDR,2021,Q4,8457542318000,715136244000,314627668000
2022-03-31,AKRA,IDR,2022,Q1,10134252148000,738403321000,427977332000
2022-06-30,AKRA,IDR,2022,Q2,11975201290000,879769237000,527484488000
2022-09-30,AKRA,IDR,2022,Q3,12472465246000,1102410922000,608368017000
2022-12-31,AKRA,IDR,2022,Q4,12958067920000,1531830002000,839505052000
2023-03-31,AKRA,IDR,2023,Q1,10958872575000,1070192305000,607276343000
2023-06-30,AKRA,IDR,2023,Q2,8895839234000,739505321000,423656448000
2023-09-30,AKRA,IDR,2023,Q3,10122779312000,1062239466000,679221900000
2023-12-31,AKRA,IDR,2023,Q4,12109461315000,1590837334000,1070194820000
2024-03-31,AKRA,IDR,2024,Q1,9811388310000,879541012000,595455845000
2024-06-30,AKRA,IDR,2024,Q2,8839234158000,684079335000,407524002000
2024-09-30,AKRA,IDR,2024,Q3,9961840597000,769022106000,466440157000
2024-12-31,AKRA,IDR,2024,Q4,10117030233000,1156155955000,755697971000
2025-03-31,AKRA,IDR,2025,Q1,10255845950000,926605924000,565208671000
2025-06-30,AKRA,IDR,2025,Q2,11162027852000,1025594565000,614868909000
2025-09-30,AKRA,IDR,2025,Q3,10977835748000,803249035000,470062585000
2025-12-31,AKRA,IDR,2025,Q4,13622758522000,1317143139000,822475911000
2026-03-31,AKRA,IDR,2026,Q1,12940865115000,1092615632000,656492588000
2026-06-30,AKRA,IDR,2026,Q2,17901983501000,1176753917000,774307781000
