date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2012-12-31,AKSI,IDR,2012,Q4,1927655000,1024266000,-1997742000
2013-03-31,AKSI,IDR,2013,Q1,2139689000,1660338000,541826000
2013-06-30,AKSI,IDR,2013,Q2,1839389000,1045607000,579609000
2013-09-30,AKSI,IDR,2013,Q3,1677201000,1043948000,3624000
2013-12-31,AKSI,IDR,2013,Q4,1488242000,745432000,-3028969000
2014-03-31,AKSI,IDR,2014,Q1,1350146000,535163000,-880593000
2014-06-30,AKSI,IDR,2014,Q2,-459711000,-939884000,-1224199000
2014-09-30,AKSI,IDR,2014,Q3,2780556000,2409797000,2495091000
2014-12-31,AKSI,IDR,2014,Q4,3491248000,3250679000,2686343000
2015-03-31,AKSI,IDR,2015,Q1,2537569000,2537569000,2288621000
2015-06-30,AKSI,IDR,2015,Q2,2607352000,2607352000,2642787000
2015-09-30,AKSI,IDR,2015,Q3,1580648000,1580648000,1434754000
2015-12-31,AKSI,IDR,2015,Q4,1356060000,1330760000,-1409507000
2016-03-31,AKSI,IDR,2016,Q1,1381788000,1221219000,-265230000
2016-06-30,AKSI,IDR,2016,Q2,0,0,-277848000
2016-09-30,AKSI,IDR,2016,Q3,1481601000,-275000,229999000
2016-12-31,AKSI,IDR,2016,Q4,550000,275000,68552000
2017-03-31,AKSI,IDR,2017,Q1,1663667000,0,-122855000
2017-06-30,AKSI,IDR,2017,Q2,1097243000,-3651683000,2560842000
2017-09-30,AKSI,IDR,2017,Q3,57558018000,10558769000,5352167000
2017-12-31,AKSI,IDR,2017,Q4,82084222000,20984207000,5307454000
2018-03-31,AKSI,IDR,2018,Q1,89563365000,21984053000,12822912000
2018-06-30,AKSI,IDR,2018,Q2,63267364000,-4991093000,-8329399000
2018-09-30,AKSI,IDR,2018,Q3,67085831000,7926402000,1539907000
2018-12-31,AKSI,IDR,2018,Q4,99189730000,40816018000,20381516000
2019-03-31,AKSI,IDR,2019,Q1,86825545000,20788918000,8685892000
2019-06-30,AKSI,IDR,2019,Q2,88307979000,8150352000,-2179606000
2019-09-30,AKSI,IDR,2019,Q3,83230730000,27072426000,13748198000
2019-12-31,AKSI,IDR,2019,Q4,215907239000,20472058000,-16087715000
2020-03-31,AKSI,IDR,2020,Q1,89913756000,119158000,-15260956000
2020-06-30,AKSI,IDR,2020,Q2,135739011000,10161132000,-3925071000
2020-09-30,AKSI,IDR,2020,Q3,107889326000,8877608000,-3285533000
2020-12-31,AKSI,IDR,2020,Q4,188075398000,34428897000,25489360000
2021-03-31,AKSI,IDR,2021,Q1,153165669000,32473053000,16835366000
2021-06-30,AKSI,IDR,2021,Q2,118826362000,22131904000,8065443000
2021-09-30,AKSI,IDR,2021,Q3,97878096000,15374190000,-1165855000
2021-12-31,AKSI,IDR,2021,Q4,109765905000,12094149000,425715000
2022-03-31,AKSI,IDR,2022,Q1,106673950000,17804902000,11013047000
2022-06-30,AKSI,IDR,2022,Q2,130619710000,23908639000,32571303000
2022-09-30,AKSI,IDR,2022,Q3,123579596000,37615689000,15164202000
2022-12-31,AKSI,IDR,2022,Q4,123254238000,22264378000,-11939244000
2023-03-31,AKSI,IDR,2023,Q1,106385916000,19283479000,790168000
2023-06-30,AKSI,IDR,2023,Q2,89254351000,11440398000,-4661099000
2023-09-30,AKSI,IDR,2023,Q3,106224707000,6086906000,5331150000
2023-12-31,AKSI,IDR,2023,Q4,129624531000,20597941000,10274324000
2024-03-31,AKSI,IDR,2024,Q1,123434427000,9351053000,-386360000
2024-06-30,AKSI,IDR,2024,Q2,98800804000,11870676000,-10124981000
2024-09-30,AKSI,IDR,2024,Q3,107726084000,6539283000,2296098000
2024-12-31,AKSI,IDR,2024,Q4,90206567000,5371584000,-11070003000
2025-03-31,AKSI,IDR,2025,Q1,144466448000,25753467000,9511306000
2025-06-30,AKSI,IDR,2025,Q2,98915035389,13107564659,-1954416513
2025-09-30,AKSI,IDR,2025,Q3,104697034347,16017377439,-6479260063
2025-12-31,AKSI,IDR,2025,Q4,107799985422,1346677309,1148330217
2026-03-31,AKSI,IDR,2026,Q1,82272334000,8845527000,-3155285000
