date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2011-03-31,AMAG,IDR,2011,Q1,69936844000,54478289000,21764301000
2011-06-30,AMAG,IDR,2011,Q2,106123014000,106123014000,30741635000
2011-09-30,AMAG,IDR,2011,Q3,97789515000,97789515000,21635879000
2011-12-31,AMAG,IDR,2011,Q4,91165913000,74222734000,21324348000
2012-03-31,AMAG,IDR,2012,Q1,81475266000,80028578000,19675139000
2012-06-30,AMAG,IDR,2012,Q2,150731649000,150731649000,43876998000
2012-09-30,AMAG,IDR,2012,Q3,161339125000,161339125000,60184671000
2012-12-31,AMAG,IDR,2012,Q4,50595729000,100682536000,23405873000
2013-03-31,AMAG,IDR,2013,Q1,123272263000,120914391000,47338714000
2013-06-30,AMAG,IDR,2013,Q2,115814293000,113149043000,25671298000
2013-09-30,AMAG,IDR,2013,Q3,108175275000,107849573000,19409126000
2013-12-31,AMAG,IDR,2013,Q4,151475427000,147726923000,60350478000
2014-03-31,AMAG,IDR,2014,Q1,131807939000,127722231000,31908068000
2014-06-30,AMAG,IDR,2014,Q2,144167494000,133278061000,26856485000
2014-09-30,AMAG,IDR,2014,Q3,148077415000,141460225000,33129101000
2014-12-31,AMAG,IDR,2014,Q4,145438949000,138749618000,48070587000
2015-03-31,AMAG,IDR,2015,Q1,184180891000,172568930000,50651237000
2015-06-30,AMAG,IDR,2015,Q2,239375192000,224268013000,73609910000
2015-09-30,AMAG,IDR,2015,Q3,177481766000,174871346000,27482885000
2015-12-31,AMAG,IDR,2015,Q4,206711615000,187601928000,66095654000
2016-03-31,AMAG,IDR,2016,Q1,199679802000,189232670000,42319953000
2016-06-30,AMAG,IDR,2016,Q2,193118386000,179753536000,52496425000
2016-09-30,AMAG,IDR,2016,Q3,181149534000,179626118000,57423105000
2016-12-31,AMAG,IDR,2016,Q4,175839976000,154101357000,-21933061000
2017-03-31,AMAG,IDR,2017,Q1,190670976000,179541707000,30010294000
2017-06-30,AMAG,IDR,2017,Q2,201136291000,186440476000,31958478000
2017-09-30,AMAG,IDR,2017,Q3,181124641000,180827100000,41579569000
2017-12-31,AMAG,IDR,2017,Q4,218298719000,177293668000,19641569000
2018-03-31,AMAG,IDR,2018,Q1,186954880000,164858974000,11130737000
2018-06-30,AMAG,IDR,2018,Q2,211061487000,183721098000,22255209000
2018-09-30,AMAG,IDR,2018,Q3,216906243000,180290566000,20776861000
2018-12-31,AMAG,IDR,2018,Q4,170943412000,138160462000,-25915892000
2019-03-31,AMAG,IDR,2019,Q1,209724668000,172383754000,23403398000
2019-06-30,AMAG,IDR,2019,Q2,196522224000,155918395000,8871966000
2019-09-30,AMAG,IDR,2019,Q3,226870497000,185958659000,30944211000
2019-12-31,AMAG,IDR,2019,Q4,210678422000,163453715000,9840735000
2020-03-31,AMAG,IDR,2020,Q1,213208353000,184522784000,21874447000
2020-06-30,AMAG,IDR,2020,Q2,194249229000,156026640000,17549107000
2020-09-30,AMAG,IDR,2020,Q3,219930301000,183775160000,41657828000
2020-12-31,AMAG,IDR,2020,Q4,162645732000,171718328000,26171884000
2021-03-31,AMAG,IDR,2021,Q1,221654153000,198351431000,44608267000
2021-06-30,AMAG,IDR,2021,Q2,201050840000,168591144000,32115593000
2021-09-30,AMAG,IDR,2021,Q3,203494815000,175466483000,30851182000
2021-12-31,AMAG,IDR,2021,Q4,296211342000,304482163000,41863427000
2022-03-31,AMAG,IDR,2022,Q1,245436199000,225356303000,36438641000
2022-06-30,AMAG,IDR,2022,Q2,246060810000,225554093000,44437792000
2022-09-30,AMAG,IDR,2022,Q3,276224108000,254445462000,51805206000
2022-12-31,AMAG,IDR,2022,Q4,257453071000,235252602000,37092783000
2023-03-31,AMAG,IDR,2023,Q1,232078871000,209573984000,15313809000
2023-06-30,AMAG,IDR,2023,Q2,267598601000,243969301000,40672464000
2023-09-30,AMAG,IDR,2023,Q3,302332466000,277607254000,58712547000
2023-12-31,AMAG,IDR,2023,Q4,285296737000,257602868000,33375057000
2024-03-31,AMAG,IDR,2024,Q1,310550533000,282615395000,43044838000
2024-06-30,AMAG,IDR,2024,Q2,307123903000,280867654000,76315931000
2024-09-30,AMAG,IDR,2024,Q3,275882358000,247494719000,24455466000
2024-12-31,AMAG,IDR,2024,Q4,314141609000,284068809000,84777208000
2025-03-31,AMAG,IDR,2025,Q1,328012220000,298423546000,52609668000
2025-06-30,AMAG,IDR,2025,Q2,626909893000,626909893000,20195715000
2025-09-30,AMAG,IDR,2025,Q3,696304396000,696304396000,42321055000
2025-12-31,AMAG,IDR,2025,Q4,808417329000,808417329000,41360943000
2026-03-31,AMAG,IDR,2026,Q1,798835119000,798835119000,71234788000
