date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2012-09-30,AMFG,IDR,2012,Q3,713750000000,195088000000,91262000000
2012-12-31,AMFG,IDR,2012,Q4,764238000000,155136000000,82970000000
2013-03-31,AMFG,IDR,2013,Q1,704601000000,145172000000,52280000000
2013-06-30,AMFG,IDR,2013,Q2,741440000000,184723000000,82639000000
2013-09-30,AMFG,IDR,2013,Q3,792493000000,205228000000,108071000000
2013-12-31,AMFG,IDR,2013,Q4,977946000000,192787000000,95368000000
2014-03-31,AMFG,IDR,2014,Q1,831579000000,219127000000,84644000000
2014-06-30,AMFG,IDR,2014,Q2,953263000000,254497000000,162051000000
2014-09-30,AMFG,IDR,2014,Q3,908991000000,221827000000,91214000000
2014-12-31,AMFG,IDR,2014,Q4,978353000000,210184000000,120726000000
2015-03-31,AMFG,IDR,2015,Q1,839919000000,202087000000,100736000000
2015-06-30,AMFG,IDR,2015,Q2,894946000000,202107000000,87819000000
2015-09-30,AMFG,IDR,2015,Q3,925421000000,197803000000,103550000000
2015-12-31,AMFG,IDR,2015,Q4,1005703000000,195318000000,49241000000
2016-03-31,AMFG,IDR,2016,Q1,920433000000,199789000000,56630000000
2016-06-30,AMFG,IDR,2016,Q2,947475000000,214613000000,73432000000
2016-09-30,AMFG,IDR,2016,Q3,906204000000,216502000000,85999000000
2016-12-31,AMFG,IDR,2016,Q4,949963000000,153620000000,44383000000
2017-03-31,AMFG,IDR,2017,Q1,920954000000,125668000000,18606000000
2017-06-30,AMFG,IDR,2017,Q2,865741000000,130304000000,2338000000
2017-09-30,AMFG,IDR,2017,Q3,1069278000000,183559000000,42355000000
2017-12-31,AMFG,IDR,2017,Q4,1029818000000,148103000000,-24730000000
2018-03-31,AMFG,IDR,2018,Q1,1080353000000,185707000000,36230000000
2018-06-30,AMFG,IDR,2018,Q2,972407000000,140295000000,-56250000000
2018-09-30,AMFG,IDR,2018,Q3,1213520000000,173842000000,-71062000000
2018-12-31,AMFG,IDR,2018,Q4,1176982000000,157460000000,97678000000
2019-03-31,AMFG,IDR,2019,Q1,996671000000,91481000000,-16288000000
2019-06-30,AMFG,IDR,2019,Q2,975325000000,107559000000,-44387000000
2019-09-30,AMFG,IDR,2019,Q3,1171134000000,163538000000,-50775000000
2019-12-31,AMFG,IDR,2019,Q4,1146646000000,45608000000,-20773000000
2020-03-31,AMFG,IDR,2020,Q1,1056173000000,119526000000,-581567000000
2020-06-30,AMFG,IDR,2020,Q2,580842000000,-91446000000,194578000000
2020-09-30,AMFG,IDR,2020,Q3,991128000000,65313000000,-266178000000
2020-12-31,AMFG,IDR,2020,Q4,1139646000000,209590000000,222180000000
2021-03-31,AMFG,IDR,2021,Q1,1164348000000,213973000000,-43916000000
2021-06-30,AMFG,IDR,2021,Q2,1102619000000,241934000000,68799000000
2021-09-30,AMFG,IDR,2021,Q3,1215451000000,311326000000,169964000000
2021-12-31,AMFG,IDR,2021,Q4,1265721000000,328892000000,123825000000
2022-03-31,AMFG,IDR,2022,Q1,1462355000000,401342000000,225369000000
2022-06-30,AMFG,IDR,2022,Q2,1225083000000,312513000000,126279000000
2022-09-30,AMFG,IDR,2022,Q3,1439894000000,371290000000,187739000000
2022-12-31,AMFG,IDR,2022,Q4,1444435000000,361630000000,-102017000000
2023-03-31,AMFG,IDR,2023,Q1,1571798000000,414945000000,210516000000
2023-06-30,AMFG,IDR,2023,Q2,1323178000000,301449000000,81274000000
2023-09-30,AMFG,IDR,2023,Q3,1525031000000,440512000000,187050000000
2023-12-31,AMFG,IDR,2023,Q4,1493558000000,346850000000,104457000000
2024-03-31,AMFG,IDR,2024,Q1,1286300000000,250651000000,43115000000
2024-06-30,AMFG,IDR,2024,Q2,1344590000000,217431000000,15340000000
2024-09-30,AMFG,IDR,2024,Q3,1499962000000,302826000000,112479000000
2024-12-31,AMFG,IDR,2024,Q4,1310408000000,256686000000,67676000000
2025-03-31,AMFG,IDR,2025,Q1,1177680000000,253192000000,51777000000
2025-06-30,AMFG,IDR,2025,Q2,1189718000000,168852000000,1172000000
2025-09-30,AMFG,IDR,2025,Q3,1334459000000,210157000000,18016000000
2025-12-31,AMFG,IDR,2025,Q4,1384134000000,188898000000,8666000000
2026-03-31,AMFG,IDR,2026,Q1,1219178000000,159862000000,-2260000000
