date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2022-03-31,AMMN,USD,2022,Q1,693395000,439926500,281250500
2022-06-30,AMMN,USD,2022,Q2,693395000,439926500,281250500
2022-09-30,AMMN,USD,2022,Q3,853187000,518296000,349391000
2022-12-31,AMMN,USD,2022,Q4,853187000,518296000,349391000
2023-03-31,AMMN,USD,2023,Q1,290261000,147834500,59402000
2023-06-30,AMMN,USD,2023,Q2,290261000,147834500,59402000
2023-09-30,AMMN,USD,2023,Q3,570241000,275056000,-56133000
2023-12-31,AMMN,USD,2023,Q4,882602000,400395000,189473000
2024-03-31,AMMN,USD,2024,Q1,601550000,281020000,129056000
2024-06-30,AMMN,USD,2024,Q2,947068000,632983000,346193000
2024-09-30,AMMN,USD,2024,Q3,945953000,446754000,241864000
2024-12-31,AMMN,USD,2024,Q4,169059000,46392000,-80218000
2025-03-31,AMMN,USD,2025,Q1,2124000,-57390000,-138763000
2025-06-30,AMMN,USD,2025,Q2,180471000,113093000,-9957000
2025-09-30,AMMN,USD,2025,Q3,356471000,66413000,-29000000
2025-12-31,AMMN,USD,2025,Q4,1300128631,689549611,427166608
2026-03-31,AMMN,USD,2026,Q1,807912000,342346000,160169000
