date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2018-09-30,AMOR,IDR,2018,Q1,76165110048,33147716741,22070437831
2018-12-31,AMOR,IDR,2018,Q2,76165110048,33147716742,22070437830
2019-03-31,AMOR,IDR,2018,Q3,77016782877,-6609488587,22358562508
2019-06-30,AMOR,IDR,2018,Q4,79540223824,-93260495818,20003508268
2019-09-30,AMOR,IDR,2019,Q1,80274516170,35449428375,23045386155
2019-12-31,AMOR,IDR,2019,Q2,76540546558,34837889913,24738605903
2020-03-31,AMOR,IDR,2019,Q3,67887372439,36636201945,21682306692
2020-06-30,AMOR,IDR,2019,Q4,54920532258,27580420290,10100495065
2020-09-30,AMOR,IDR,2020,Q1,60468799457,31180848181,20325197086
2020-12-31,AMOR,IDR,2020,Q2,75038045512,38178114346,19571395561
2021-03-31,AMOR,IDR,2020,Q3,99394510066,53041699737,28243262405
2021-06-30,AMOR,IDR,2020,Q4,100480473509,52903413097,31479438528
2021-09-30,AMOR,IDR,2021,Q1,101083000000,52844000000,28579000000
2021-12-31,AMOR,IDR,2021,Q2,106521314745,56292330072,30188553889
2022-03-31,AMOR,IDR,2021,Q3,97961839263,51638527383,26797832769
2022-06-30,AMOR,IDR,2021,Q4,88078635328,48244548600,32906720523
2022-09-30,AMOR,IDR,2022,Q1,83017000000,43813000000,23024000000
2022-12-31,AMOR,IDR,2022,Q2,83911000000,43310000000,23339000000
2023-03-31,AMOR,IDR,2022,Q3,79860000000,41503000000,20403000000
2023-06-30,AMOR,IDR,2022,Q4,77855000000,41704000000,25810000000
2023-09-30,AMOR,IDR,2023,Q1,82460000000,43456000000,29782000000
2023-12-31,AMOR,IDR,2023,Q2,81301000000,42621000000,21941000000
2024-03-31,AMOR,IDR,2023,Q3,81079000000,42022000000,25245000000
2024-06-30,AMOR,IDR,2023,Q4,77842000000,29020000000,28355000000
2024-09-30,AMOR,IDR,2024,Q1,74979000000,38982000000,15183000000
2024-12-31,AMOR,IDR,2024,Q2,70323000000,35342000000,21289000000
2025-03-31,AMOR,IDR,2024,Q3,60946000000,28677000000,18989000000
2025-06-30,AMOR,IDR,2024,Q4,59683000000,23707000000,16932000000
2025-09-30,AMOR,IDR,2025,Q1,63440000000,28259000000,16060000000
2025-12-31,AMOR,IDR,2025,Q2,84697000000,48797000000,17306000000
2026-03-31,AMOR,IDR,2025,Q3,114294000000,58600000000,23469000000
