date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2012-09-30,APEX,USD,2012,Q3,57022452,20678515,8513202
2012-12-31,APEX,USD,2012,Q4,57057350,22213596,7725497
2013-03-31,APEX,USD,2013,Q1,56557865,19049883,7577094
2013-06-30,APEX,USD,2013,Q2,66821085,25432518,14257478
2013-09-30,APEX,USD,2013,Q3,69719796,1199674,-31241649
2013-12-31,APEX,USD,2013,Q4,66496256,52580956,58646216
2014-03-31,APEX,USD,2014,Q1,61859329,18681910,-762585
2014-06-30,APEX,USD,2014,Q2,56513536,25534773,-14237542
2014-09-30,APEX,USD,2014,Q3,61057472,23255125,1332739
2014-12-31,APEX,USD,2014,Q4,69895496,28777241,-2252188
2015-03-31,APEX,USD,2015,Q1,65376685,19354694,-3215495
2015-06-30,APEX,USD,2015,Q2,80793899,33599098,41178621
2015-09-30,APEX,USD,2015,Q3,56957811,16810105,458544
2015-12-31,APEX,USD,2015,Q4,43158047,1919967,-18672524
2016-03-31,APEX,USD,2016,Q1,43412321,6109321,-2883707
2016-06-30,APEX,USD,2016,Q2,27895077,5806941,-4465833
2016-09-30,APEX,USD,2016,Q3,15969233,22006212,-3732420
2016-12-31,APEX,USD,2016,Q4,17899725,-9196358,-8494851
2017-03-31,APEX,USD,2017,Q1,12096054,1270542,2262990
2017-06-30,APEX,USD,2017,Q2,10791111,1377228,-11156331
2017-09-30,APEX,USD,2017,Q3,21223125,3547242,22643386
2017-12-31,APEX,USD,2017,Q4,30364775,6746779,-116272914
2018-03-31,APEX,USD,2018,Q1,19009379,-2572323,-13556233
2018-06-30,APEX,USD,2018,Q2,24188983,1413917,-10350438
2018-09-30,APEX,USD,2018,Q3,25736037,2565660,-10757471
2018-12-31,APEX,USD,2018,Q4,22675752,-8677932,-69139793
2019-03-31,APEX,USD,2019,Q1,21739101,1868102,-9724000
2019-06-30,APEX,USD,2019,Q2,22594501,6348963,30897860
2019-09-30,APEX,USD,2019,Q3,24789110,5554306,-2783605
2019-12-31,APEX,USD,2019,Q4,24796194,5183563,1966072
2020-03-31,APEX,USD,2020,Q1,18268189,2082075,-7345375
2020-06-30,APEX,USD,2020,Q2,17467247,2881242,-3086863
2020-09-30,APEX,USD,2020,Q3,10934079,2293110,-3769586
2020-12-31,APEX,USD,2020,Q4,8097991,-1950462,58711326
2021-03-31,APEX,USD,2021,Q1,10244951,4600363,1002980
2021-06-30,APEX,USD,2021,Q2,12270907,4863532,833226
2021-09-30,APEX,USD,2021,Q3,19146046,5504945,1134852
2021-12-31,APEX,USD,2021,Q4,23493729,8448917,685429
2022-03-31,APEX,USD,2022,Q1,24109107,5422272,752736
2022-06-30,APEX,USD,2022,Q2,22625381,6350468,1394342
2022-09-30,APEX,USD,2022,Q3,18069474,4343023,-65555600
2022-12-31,APEX,USD,2022,Q4,16172809,4016937,-1331792
2023-03-31,APEX,USD,2023,Q1,15572229,4637260,1034838
2023-06-30,APEX,USD,2023,Q2,17564165,5251155,530985
2023-09-30,APEX,USD,2023,Q3,13738484,3201912,-464661
2023-12-31,APEX,USD,2023,Q4,15400054,6203524,-2447723
2024-03-31,APEX,USD,2024,Q1,23786450,7309700,1704525
2024-06-30,APEX,USD,2024,Q2,18791935,3201913,-1369145
2024-09-30,APEX,USD,2024,Q3,18246703,2455517,636601
2024-12-31,APEX,USD,2024,Q4,23757348,5598350,-429157
2025-03-31,APEX,USD,2025,Q1,22879435,7062548,437451
2025-06-30,APEX,USD,2025,Q2,19979485,4851364,313776
2025-09-30,APEX,USD,2025,Q3,20862105,4796485,754259
2025-12-31,APEX,USD,2025,Q4,20501441,7639966,2537681
2026-03-31,APEX,USD,2026,Q1,19866647,19866647,1096658
2026-06-30,APEX,USD,2026,Q2,13698558,13698558,1474147
