date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2011-09-30,APIC,IDR,2011,Q3,-295897132,-295897132,3775247278
2011-12-31,APIC,IDR,2011,Q4,-1827519684,-1827519684,-1873141980
2012-03-31,APIC,IDR,2012,Q1,21798532317,20765542670,19684334883
2012-06-30,APIC,IDR,2012,Q2,-9700627320,-9700627320,-9266420629
2012-09-30,APIC,IDR,2012,Q3,4779729873,4779729873,2282323066
2012-12-31,APIC,IDR,2012,Q4,-5992938585,-11395629447,-8653086451
2013-03-31,APIC,IDR,2013,Q1,3475109710,1740889456,1856261104
2013-06-30,APIC,IDR,2013,Q2,3181086718,1089311613,1563958746
2013-09-30,APIC,IDR,2013,Q3,5988144890,3225021422,7605660451
2013-12-31,APIC,IDR,2013,Q4,6147004534,4028212592,1187747716
2014-03-31,APIC,IDR,2014,Q1,11908276095,8336918186,20570001042
2014-06-30,APIC,IDR,2014,Q2,12418830481,8758909763,6155462674
2014-09-30,APIC,IDR,2014,Q3,6422595419,2073253468,-8065522427
2014-12-31,APIC,IDR,2014,Q4,30732031959,27319052689,11105107491
2015-03-31,APIC,IDR,2015,Q1,18978020597,14661849135,63581200706
2015-06-30,APIC,IDR,2015,Q2,14972068235,10589331724,-32729218123
2015-09-30,APIC,IDR,2015,Q3,5394855039,1734034038,-24640813844
2015-12-31,APIC,IDR,2015,Q4,40661157893,34819772134,19362248402
2016-03-31,APIC,IDR,2016,Q1,26017146231,20483758097,46886526870
2016-06-30,APIC,IDR,2016,Q2,32449871797,23518798143,-4590193707
2016-09-30,APIC,IDR,2016,Q3,68478939801,61189690487,24965738900
2016-12-31,APIC,IDR,2016,Q4,-7913099469,-15764442760,127116067
2017-03-31,APIC,IDR,2017,Q1,29853360855,23182301753,8974656201
2017-06-30,APIC,IDR,2017,Q2,37477350746,21965222839,47815236281
2017-09-30,APIC,IDR,2017,Q3,46278412979,36017359577,28738775348
2017-12-31,APIC,IDR,2017,Q4,39238854782,11367289560,34394748815
2018-03-31,APIC,IDR,2018,Q1,161025493454,141690023300,112440122195
2018-06-30,APIC,IDR,2018,Q2,40003534188,-11469370004,-32224418227
2018-09-30,APIC,IDR,2018,Q3,91936509710,32098941413,-28835930453
2018-12-31,APIC,IDR,2018,Q4,177908955041,98340362218,16134045374
2019-03-31,APIC,IDR,2019,Q1,172185041507,32766250235,20516995968
2019-06-30,APIC,IDR,2019,Q2,132635600399,39669025395,42653849819
2019-09-30,APIC,IDR,2019,Q3,223476784442,76990463979,11534031009
2019-12-31,APIC,IDR,2019,Q4,608833752722,56656611717,24933439888
2020-03-31,APIC,IDR,2020,Q1,925579459004,132120778381,83908987951
2020-06-30,APIC,IDR,2020,Q2,203975521283,-130710252116,9687193950
2020-09-30,APIC,IDR,2020,Q3,616369721475,191480575615,9760391518
2020-12-31,APIC,IDR,2020,Q4,535235297775,91634111872,17727756318
2021-03-31,APIC,IDR,2021,Q1,520171306744,109052330116,81125541398
2021-06-30,APIC,IDR,2021,Q2,469709376222,-33519420927,37129117635
2021-09-30,APIC,IDR,2021,Q3,591871804775,85485456627,8904007690
2021-12-31,APIC,IDR,2021,Q4,545623200011,-1909934319,-28335814883
2022-03-31,APIC,IDR,2022,Q1,695777679833,127867481543,106250964982
2022-06-30,APIC,IDR,2022,Q2,528253906521,-15375877218,-19619522573
2022-09-30,APIC,IDR,2022,Q3,494872752888,-41365047427,14207860729
2022-12-31,APIC,IDR,2022,Q4,548717882388,83999438085,51623980230
2023-03-31,APIC,IDR,2023,Q1,595347656165,142167027367,105935535982
2023-06-30,APIC,IDR,2023,Q2,450785412878,27150784802,-4732195131
2023-09-30,APIC,IDR,2023,Q3,518930645641,34085877887,33264118155
2023-12-31,APIC,IDR,2023,Q4,610958673813,78699635171,-29567063449
2024-03-31,APIC,IDR,2024,Q1,502551785083,26019358163,97605483240
2024-06-30,APIC,IDR,2024,Q2,353524406347,-72144382827,22409454100
2024-09-30,APIC,IDR,2024,Q3,498464095000,29931711000,9051789000
2024-12-31,APIC,IDR,2024,Q4,807404351000,131179587000,1264085000
2025-03-31,APIC,IDR,2025,Q1,582377643481,83248999180,117044736156
2025-06-30,APIC,IDR,2025,Q2,457022291000,-47108463000,-29782048000
2025-09-30,APIC,IDR,2025,Q3,524884710000,28338360000,8025348000
2025-12-31,APIC,IDR,2025,Q4,-1318593521000,-1319671166000,2561762000
2026-03-31,APIC,IDR,2026,Q1,614210497946,,122702531827
