date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2013-12-31,ARGO,IDR,2013,Q4,369558078000,16469502000,167305083000
2014-03-31,ARGO,IDR,2014,Q1,332084246810,-25420294445,-69220611535.8158
2014-06-30,ARGO,IDR,2014,Q2,367299363056,-23094819858,-54595056291.38008
2014-09-30,ARGO,IDR,2014,Q3,290621390133,-28792885697,-23670332172.80412
2014-12-31,ARGO,IDR,2014,Q4,313717052734,-67650432891,-229801276262.77216
2015-03-31,ARGO,IDR,2015,Q1,168955714348,-13424298825,-42616566201.8756
2015-06-30,ARGO,IDR,2015,Q2,151468312238,-11167674502,-74836153768.76122
2015-09-30,ARGO,IDR,2015,Q3,186767439749,-26135255418,-49734186207.78338
2015-12-31,ARGO,IDR,2015,Q4,120604109247,-18248319105,15832273724
2016-03-31,ARGO,IDR,2016,Q1,147363952260,-6035358090,-37813501327.69686
2016-06-30,ARGO,IDR,2016,Q2,181174983405,-4076113659,-56004514456.69611
2016-09-30,ARGO,IDR,2016,Q3,141932079838,-7262408455,-52730760219.75721
2016-12-31,ARGO,IDR,2016,Q4,188119404012,330632571,-201450912780.81204
2017-03-31,ARGO,IDR,2017,Q1,131156471394,-11734580561,-95661358205.63065
2017-06-30,ARGO,IDR,2017,Q2,117275270619,-5204102948,-53670437002.3567
2017-09-30,ARGO,IDR,2017,Q3,90719551817,-4551262584,57299059350
2017-12-31,ARGO,IDR,2017,Q4,110497275563,-4799082241,-108666953704.133
2018-03-31,ARGO,IDR,2018,Q1,115417702852,4158459421,-21567757902.44368
2018-06-30,ARGO,IDR,2018,Q2,100338777906,-6460505202,23938888089
2018-09-30,ARGO,IDR,2018,Q3,115320796501,-16180725171,-5884916402.76362
2018-12-31,ARGO,IDR,2018,Q4,120590593758,-22496485558,-115741443398.36243
2019-03-31,ARGO,IDR,2019,Q1,105904390720,1022430199,-27255607543.848
2019-06-30,ARGO,IDR,2019,Q2,73476156832,16173616718,-15087749470.90264
2019-09-30,ARGO,IDR,2019,Q3,67834204230,-15523728259,-37911356199.07672
2019-12-31,ARGO,IDR,2019,Q4,7820528926,-8263682729,-21122758710.12761
2020-03-31,ARGO,IDR,2020,Q1,9275990325,-8642200691,48997334184
2020-06-30,ARGO,IDR,2020,Q2,16480863870,1904553430,-80982618387.74954
2020-09-30,ARGO,IDR,2020,Q3,15117840308,-3018736329,-15383754066.90064
2020-12-31,ARGO,IDR,2020,Q4,-1258850904.38559,-16657200046.38559,-25226109390.6543
2021-03-31,ARGO,IDR,2021,Q1,15329335984,-2305800420,-2838625600
2021-06-30,ARGO,IDR,2021,Q2,16635685516,-5669362624,-12075377798.40992
2021-09-30,ARGO,IDR,2021,Q3,16985108501,-2233175690,-44574456153.64308
2021-12-31,ARGO,IDR,2021,Q4,20666175795,-16145908514,31027340152
2022-03-31,ARGO,IDR,2022,Q1,15622597810,-5801215170,-9159824797
2022-06-30,ARGO,IDR,2022,Q2,27356682649,4979781263,-13717187364
2022-09-30,ARGO,IDR,2022,Q3,23739163786,-119525948,-7268647787
2022-12-31,ARGO,IDR,2022,Q4,8766379178,-13597979606,-67163932468
2023-03-31,ARGO,IDR,2023,Q1,22091883143,18305404,14492622317
2023-06-30,ARGO,IDR,2023,Q2,27793244590,7572790428,-5483464190
2023-09-30,ARGO,IDR,2023,Q3,26903265020,4199412451,-34014933772
2023-12-31,ARGO,IDR,2023,Q4,26348747000,691989000,-10137665000
2024-03-31,ARGO,IDR,2024,Q1,24525525114,7678137454,-949151760
2024-06-30,ARGO,IDR,2024,Q2,25809366000,12906624000,1865725000
2024-09-30,ARGO,IDR,2024,Q3,29328726000,4449446000,4815741000
2024-12-31,ARGO,IDR,2024,Q4,23333232000,7230430000,-13864437000
2025-03-31,ARGO,IDR,2025,Q1,30429400000,14390300000,-9446598000
2025-06-30,ARGO,IDR,2025,Q2,25197141000,12249769000,20976820000
2025-09-30,ARGO,IDR,2025,Q3,29556395000,14851964000,-13090122000
2025-12-31,ARGO,IDR,2025,Q4,27138630000,65599713000,72750938000
2026-03-31,ARGO,IDR,2026,Q1,29435141976,,-2474933813
2026-06-30,ARGO,IDR,2026,Q2,23425734985,,-31070737909
