date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2012-09-30,ARTI,IDR,2012,Q3,126346730831,46452633539,-1320549037
2012-12-31,ARTI,IDR,2012,Q4,114962988258,38778112586,26576551446
2013-03-31,ARTI,IDR,2013,Q1,110427536482,39025651888,11010326811
2013-06-30,ARTI,IDR,2013,Q2,93297807372,35064332080,-2629966620
2013-09-30,ARTI,IDR,2013,Q3,78995351561,26822332199,14107819432
2013-12-31,ARTI,IDR,2013,Q4,121822968143,163065839941,17971540174
2014-03-31,ARTI,IDR,2014,Q1,85310844726,44889241441,10160103874
2014-06-30,ARTI,IDR,2014,Q2,98221508726,37261526335,5810040221
2014-09-30,ARTI,IDR,2014,Q3,78460981195,26150661436,5373201248
2014-12-31,ARTI,IDR,2014,Q4,95573386552,84809408368,3124055872
2015-03-31,ARTI,IDR,2015,Q1,83121046254,45726991179,8072425874
2015-06-30,ARTI,IDR,2015,Q2,80268748830,51647672023,4041120988
2015-09-30,ARTI,IDR,2015,Q3,48129091763,29153979663,2035814430
2015-12-31,ARTI,IDR,2015,Q4,14275346184,-12060120853,-804639400
2016-03-31,ARTI,IDR,2016,Q1,68800031920,42906205232,2752168726
2016-06-30,ARTI,IDR,2016,Q2,74381003178,33153994452,-1036199518
2016-09-30,ARTI,IDR,2016,Q3,26011682117,3298206507,-165653577
2016-12-31,ARTI,IDR,2016,Q4,40948026333,22283204115,2824289128
2017-03-31,ARTI,IDR,2017,Q1,55596528946,22487200376,1535029672
2017-06-30,ARTI,IDR,2017,Q2,47056374687,23224760341,1406586694
2017-09-30,ARTI,IDR,2017,Q3,60292477203,35273783073,-708303072
2017-12-31,ARTI,IDR,2017,Q4,86823262526,66170819206,7978284520
2018-03-31,ARTI,IDR,2018,Q1,87507761826,38944574998,1814227254
2018-06-30,ARTI,IDR,2018,Q2,78963578339,34714721082,1922330154
2018-09-30,ARTI,IDR,2018,Q3,172356536390,120083691720,7433215843
2018-12-31,ARTI,IDR,2018,Q4,45456174821,46162071311,427702385
2019-03-31,ARTI,IDR,2019,Q1,67704859620,27998975712,3128840348
2019-06-30,ARTI,IDR,2019,Q2,41226677590,-95681762,-11403445351
2019-09-30,ARTI,IDR,2019,Q3,33766974763,2528400314,1987537283
2019-12-31,ARTI,IDR,2019,Q4,29721262191,-23652876035,-342695945362
2020-03-31,ARTI,IDR,2020,Q1,14396538727,-4893869386,2075494789
2020-06-30,ARTI,IDR,2020,Q2,12516880997,-4489554000,-762152851
2020-09-30,ARTI,IDR,2020,Q3,3141814233,-10051420093,-7055299017
2020-12-31,ARTI,IDR,2020,Q4,2749511786,-1590751653,-945268978372
2021-03-31,ARTI,IDR,2021,Q1,430492662,-8596170746,-36309643093
2021-06-30,ARTI,IDR,2021,Q2,948770785,-511236867,-830302510
2021-09-30,ARTI,IDR,2021,Q3,1752600093,-20012086388,-20611738063
2021-12-31,ARTI,IDR,2021,Q4,2878432167,6360996269,-76922392061
2022-03-31,ARTI,IDR,2022,Q1,1520453539,-4915803157,-7060673096
2022-06-30,ARTI,IDR,2022,Q2,2129082440,-4524779368,-65424440855
2022-09-30,ARTI,IDR,2022,Q3,12020398221,-10476554932,-41527397887
2022-12-31,ARTI,IDR,2022,Q4,57637146545,29239040547,12858061943
2023-03-31,ARTI,IDR,2023,Q1,51589789918,20535220613,9620938551
2023-06-30,ARTI,IDR,2023,Q2,17173209102,-9058571787,-18428461859
2023-09-30,ARTI,IDR,2023,Q3,29375855034,19669003152,10283203107
2023-12-31,ARTI,IDR,2023,Q4,16892463770,-8120558608,-21204097564
2024-03-31,ARTI,IDR,2024,Q1,6879687700,2800349358,-2215412751
2024-06-30,ARTI,IDR,2024,Q2,7963943020,6815222686,-870008824
2024-09-30,ARTI,IDR,2024,Q3,7094068470,5329192878,-1765491846
2024-12-31,ARTI,IDR,2024,Q4,15144347578,-2355486708,589690542
2025-03-31,ARTI,IDR,2025,Q1,805842300,-2630335524,-12348917365
2025-06-30,ARTI,IDR,2025,Q2,-707981776,351971167,8127676538
2025-09-30,ARTI,IDR,2025,Q3,8080569458,0,7326363548
2025-12-31,ARTI,IDR,2025,Q4,10220171000,-968619000,-7418162000
2026-03-31,ARTI,IDR,2026,Q1,4427961150,588192337,-2594044676
