date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2012-09-30,ARTO,IDR,2012,Q3,5981000000,5981000000,-65000000
2012-12-31,ARTO,IDR,2012,Q4,6261446679,6261446679,376765231
2013-03-31,ARTO,IDR,2013,Q1,6791000000,6791000000,348000000
2013-06-30,ARTO,IDR,2013,Q2,6999000000,6999000000,45000000
2013-09-30,ARTO,IDR,2013,Q3,7079000000,7079000000,31000000
2013-12-31,ARTO,IDR,2013,Q4,9327842120,9327842120,1894062067
2014-03-31,ARTO,IDR,2014,Q1,8321000000,8321000000,487000000
2014-06-30,ARTO,IDR,2014,Q2,7929000000,7929000000,305000000
2014-09-30,ARTO,IDR,2014,Q3,2089000000,2089000000,-6228000000
2014-12-31,ARTO,IDR,2014,Q4,16813842680,16813842680,6567589699
2015-03-31,ARTO,IDR,2015,Q1,9852862904,9852862904,69114938
2015-06-30,ARTO,IDR,2015,Q2,10430093964,10430093964,482717505
2015-09-30,ARTO,IDR,2015,Q3,9708465523,9708465523,-265894931
2015-12-31,ARTO,IDR,2015,Q4,8613992979,8613992979,-595634447
2016-03-31,ARTO,IDR,2016,Q1,20359207797,8221026150,-10518561066
2016-06-30,ARTO,IDR,2016,Q2,11008274097,11008274097,-2392420074
2016-09-30,ARTO,IDR,2016,Q3,16849229167,6222846438,-24506579081
2016-12-31,ARTO,IDR,2016,Q4,13912643537,13912643537,4086995062
2017-03-31,ARTO,IDR,2017,Q1,17156820000,17156820000,139415741
2017-06-30,ARTO,IDR,2017,Q2,20445225133,8873662995,-5147602738
2017-09-30,ARTO,IDR,2017,Q3,21248745601,8698561481,-3840331179
2017-12-31,ARTO,IDR,2017,Q4,19803121176,7114998016,111158193
2018-03-31,ARTO,IDR,2018,Q1,18270182935,7491435687,-3751975762
2018-06-30,ARTO,IDR,2018,Q2,18514401089,8724839879,-2992238007
2018-09-30,ARTO,IDR,2018,Q3,18853814905,8896821669,-3436724528
2018-12-31,ARTO,IDR,2018,Q4,15595240870,6166033167,-13107490494
2019-03-31,ARTO,IDR,2019,Q1,13803040221,4493232383,-6027260487
2019-06-30,ARTO,IDR,2019,Q2,16712387734,6541017964,-8133678441
2019-09-30,ARTO,IDR,2019,Q3,13073042368,2348827086,-4924198820
2019-12-31,ARTO,IDR,2019,Q4,13678183762,2775075180,-102880678051
2020-03-31,ARTO,IDR,2020,Q1,19113000000,10247000000,-25376000000
2020-06-30,ARTO,IDR,2020,Q2,22488549740,16707179855,-25537268002
2020-09-30,ARTO,IDR,2020,Q3,20468512644,16544380602,-54799599607
2020-12-31,ARTO,IDR,2020,Q4,29856000000,23001000000,-83854000000
2021-03-31,ARTO,IDR,2021,Q1,42371000000,33994000000,-38131000000
2021-06-30,ARTO,IDR,2021,Q2,120848000000,107945000000,-8645000000
2021-09-30,ARTO,IDR,2021,Q3,201110000000,184443000000,14171000000
2021-12-31,ARTO,IDR,2021,Q4,286615000000,262086000000,118629000000
2022-03-31,ARTO,IDR,2022,Q1,347395000000,318285000000,18935000000
2022-06-30,ARTO,IDR,2022,Q2,358868000000,326416000000,9983000000
2022-09-30,ARTO,IDR,2022,Q3,380758000000,346278000000,11655000000
2022-12-31,ARTO,IDR,2022,Q4,414049000000,371247000000,-24660000000
2023-03-31,ARTO,IDR,2023,Q1,482949000000,425822000000,17504000000
2023-06-30,ARTO,IDR,2023,Q2,498344000000,416462000000,23012000000
2023-09-30,ARTO,IDR,2023,Q3,447613000000,375820000000,9778000000
2023-12-31,ARTO,IDR,2023,Q4,356145000000,356145000000,22068000000
2024-03-31,ARTO,IDR,2024,Q1,345190000000,345190000000,21707000000
2024-06-30,ARTO,IDR,2024,Q2,363837000000,363837000000,28259000000
2024-09-30,ARTO,IDR,2024,Q3,498659000000,369634000000,35870000000
2024-12-31,ARTO,IDR,2024,Q4,638917000000,476916000000,42682000000
2025-03-31,ARTO,IDR,2025,Q1,690482000000,601947000000,60272000000
2025-06-30,ARTO,IDR,2025,Q2,678456000000,604464000000,66797000000
2025-09-30,ARTO,IDR,2025,Q3,730574000000,515655000000,72064000000
2025-12-31,ARTO,IDR,2025,Q4,821868000000,574678000000,77101000000
2026-03-31,ARTO,IDR,2026,Q1,862800000000,384370000000,85776000000
2026-06-30,ARTO,IDR,2026,Q2,912755000000,412006000000,103294000000
