date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2012-12-31,ASBI,IDR,2012,Q4,40982627000,40982627000,9791876000
2013-03-31,ASBI,IDR,2013,Q1,29859114000,29859114000,3144683000
2013-06-30,ASBI,IDR,2013,Q2,39684034000,39684034000,1095163000
2013-09-30,ASBI,IDR,2013,Q3,49343118000,49343118000,12872402000
2013-12-31,ASBI,IDR,2013,Q4,37341414000,37341414000,2679559000
2014-03-31,ASBI,IDR,2014,Q1,30245575000,30245575000,6562304000
2014-06-30,ASBI,IDR,2014,Q2,35436830000,35436830000,462066000
2014-09-30,ASBI,IDR,2014,Q3,35471917000,35471917000,-779283000
2014-12-31,ASBI,IDR,2014,Q4,39626267000,39626267000,3596169000
2015-03-31,ASBI,IDR,2015,Q1,42455230000,42455230000,5434802000
2015-06-30,ASBI,IDR,2015,Q2,47531320000,47531320000,4385837000
2015-09-30,ASBI,IDR,2015,Q3,48260985000,48260985000,4256372000
2015-12-31,ASBI,IDR,2015,Q4,48551752000,48551752000,14121806000
2016-03-31,ASBI,IDR,2016,Q1,49266700000,49266700000,7740389000
2016-06-30,ASBI,IDR,2016,Q2,53381991000,53381991000,2403812000
2016-09-30,ASBI,IDR,2016,Q3,47274871000,47274871000,-3011162000
2016-12-31,ASBI,IDR,2016,Q4,62129165000,62129165000,8167737000
2017-03-31,ASBI,IDR,2017,Q1,57350073000,57350073000,4320070000
2017-06-30,ASBI,IDR,2017,Q2,56886145000,56886145000,-2223934000
2017-09-30,ASBI,IDR,2017,Q3,58168498000,58168498000,7318967000
2017-12-31,ASBI,IDR,2017,Q4,65135810000,65135810000,4005811000
2018-03-31,ASBI,IDR,2018,Q1,55648962000,55648962000,1928022000
2018-06-30,ASBI,IDR,2018,Q2,66095689000,66095689000,2094768000
2018-09-30,ASBI,IDR,2018,Q3,75763715000,75763715000,1014555000
2018-12-31,ASBI,IDR,2018,Q4,76862735000,76862735000,8891753000
2019-03-31,ASBI,IDR,2019,Q1,65458797000,65458797000,9571144000
2019-06-30,ASBI,IDR,2019,Q2,61560636000,61560636000,-3789102000
2019-09-30,ASBI,IDR,2019,Q3,65825938000,65825938000,-186991000
2019-12-31,ASBI,IDR,2019,Q4,69565347000,69565347000,2408942000
2020-03-31,ASBI,IDR,2020,Q1,73167824000,73167824000,1638852000
2020-06-30,ASBI,IDR,2020,Q2,52414682000,52414682000,2396335000
2020-09-30,ASBI,IDR,2020,Q3,58720474000,58720474000,-2791877000
2020-12-31,ASBI,IDR,2020,Q4,56626376000,56626376000,22414758000
2021-03-31,ASBI,IDR,2021,Q1,72253180000,56543600000,1148904000
2021-06-30,ASBI,IDR,2021,Q2,56517928000,49319552000,-2579559000
2021-09-30,ASBI,IDR,2021,Q3,74293103000,53214511000,-1884968000
2021-12-31,ASBI,IDR,2021,Q4,111110387000,58765676000,19760355000
2022-03-31,ASBI,IDR,2022,Q1,76876999000,54364978000,1839932000
2022-06-30,ASBI,IDR,2022,Q2,77821183000,62750758000,2040131000
2022-09-30,ASBI,IDR,2022,Q3,73691953000,58457022000,1477021000
2022-12-31,ASBI,IDR,2022,Q4,71363907000,57170142000,-224544000
2023-03-31,ASBI,IDR,2023,Q1,28735759000,46485716000,1623897000
2023-06-30,ASBI,IDR,2023,Q2,120481142000,48216745000,2760169000
2023-09-30,ASBI,IDR,2023,Q3,62945302000,72806263000,7213814000
2023-12-31,ASBI,IDR,2023,Q4,61544971000,48283885000,-5786402000
2024-03-31,ASBI,IDR,2024,Q1,100852855000,100196981000,340567000
2024-06-30,ASBI,IDR,2024,Q2,45019825000,43825651000,3413795000
2024-09-30,ASBI,IDR,2024,Q3,104143118000,45620718000,-10431249000
2024-12-31,ASBI,IDR,2024,Q4,59114817000,40015513000,16545167000
2025-03-31,ASBI,IDR,2025,Q1,85132315000,85132315000,1546452000
2025-06-30,ASBI,IDR,2025,Q2,89079264000,89079264000,4952548000
2025-09-30,ASBI,IDR,2025,Q3,78627488000,78627488000,64640000
2025-12-31,ASBI,IDR,2025,Q4,104838843000,104838843000,9839409000
2026-03-31,ASBI,IDR,2026,Q1,73866682000,73866682000,7056420000
