date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2012-03-31,ASDM,IDR,2012,Q1,32241608000,32241608000,3830346000
2012-06-30,ASDM,IDR,2012,Q2,37872068000,37872068000,8584783000
2012-09-30,ASDM,IDR,2012,Q3,33510931000,33510931000,5194372000
2012-12-31,ASDM,IDR,2012,Q4,36696803000,36696803000,10933017000
2013-03-31,ASDM,IDR,2013,Q1,35590741000,35590741000,4130366000
2013-06-30,ASDM,IDR,2013,Q2,37534845000,37534845000,9208101000
2013-09-30,ASDM,IDR,2013,Q3,38438080000,38438080000,4777082000
2013-12-31,ASDM,IDR,2013,Q4,57160336000,57160336000,14725495000
2014-03-31,ASDM,IDR,2014,Q1,36035094000,36035094000,4207952000
2014-06-30,ASDM,IDR,2014,Q2,46560582000,46560582000,11195207000
2014-09-30,ASDM,IDR,2014,Q3,39266091000,39266091000,8827680000
2014-12-31,ASDM,IDR,2014,Q4,61404386000,61404386000,13504430000
2015-03-31,ASDM,IDR,2015,Q1,46954158000,46954158000,9460062000
2015-06-30,ASDM,IDR,2015,Q2,58609526000,58609526000,12846212000
2015-09-30,ASDM,IDR,2015,Q3,53775986000,53775986000,9468020000
2015-12-31,ASDM,IDR,2015,Q4,45377725000,45377725000,12498939000
2016-03-31,ASDM,IDR,2016,Q1,37530160000,37530160000,5029569000
2016-06-30,ASDM,IDR,2016,Q2,50584896000,50584896000,10251863000
2016-09-30,ASDM,IDR,2016,Q3,41877969000,41877969000,4997212000
2016-12-31,ASDM,IDR,2016,Q4,64028877000,64028877000,18772198000
2017-03-31,ASDM,IDR,2017,Q1,48665229000,48665229000,5109357000
2017-06-30,ASDM,IDR,2017,Q2,45964924000,45964924000,11537718000
2017-09-30,ASDM,IDR,2017,Q3,45924663000,45924663000,8859561000
2017-12-31,ASDM,IDR,2017,Q4,59597251000,59597251000,14771214000
2018-03-31,ASDM,IDR,2018,Q1,53770394000,42889151000,4855689000
2018-06-30,ASDM,IDR,2018,Q2,53284691000,53284691000,12438734000
2018-09-30,ASDM,IDR,2018,Q3,43556818000,43556818000,1877383000
2018-12-31,ASDM,IDR,2018,Q4,57756965000,57756965000,18887044000
2019-03-31,ASDM,IDR,2019,Q1,59814466000,48366161000,5203668000
2019-06-30,ASDM,IDR,2019,Q2,46405659000,57477970000,12246579000
2019-09-30,ASDM,IDR,2019,Q3,70864920000,44278052000,2800345000
2019-12-31,ASDM,IDR,2019,Q4,26360942000,52549717000,7588469000
2020-03-31,ASDM,IDR,2020,Q1,65573909000,54115654000,1040211000
2020-06-30,ASDM,IDR,2020,Q2,44698672000,39309853000,5249219000
2020-09-30,ASDM,IDR,2020,Q3,45111130000,39549271000,1922507000
2020-12-31,ASDM,IDR,2020,Q4,50775291000,47274651000,18592677000
2021-03-31,ASDM,IDR,2021,Q1,52725965000,41633845000,2018127000
2021-06-30,ASDM,IDR,2021,Q2,58176579000,52001673000,4601956000
2021-09-30,ASDM,IDR,2021,Q3,41770509000,35504206000,2909703000
2021-12-31,ASDM,IDR,2021,Q4,47837073000,42452904000,10754573000
2022-03-31,ASDM,IDR,2022,Q1,51371147000,41137609000,2261818000
2022-06-30,ASDM,IDR,2022,Q2,53242566000,48427278000,4795656000
2022-09-30,ASDM,IDR,2022,Q3,51249795000,44368340000,1109432000
2022-12-31,ASDM,IDR,2022,Q4,59355955000,52509587000,10384161000
2023-03-31,ASDM,IDR,2023,Q1,57675703000,45336483000,3378717000
2023-06-30,ASDM,IDR,2023,Q2,62583477000,53633912000,5291178000
2023-09-30,ASDM,IDR,2023,Q3,51464819000,45385933000,1756142000
2023-12-31,ASDM,IDR,2023,Q4,69239537000,59986303000,10611954000
2024-03-31,ASDM,IDR,2024,Q1,62728758000,49917339000,4587806000
2024-06-30,ASDM,IDR,2024,Q2,67696155000,60914999000,6467836000
2024-09-30,ASDM,IDR,2024,Q3,54735415000,47355732000,3448041000
2024-12-31,ASDM,IDR,2024,Q4,86576728000,79665262000,15622128000
2025-03-31,ASDM,IDR,2025,Q1,69898721000,57297582000,5519324000
2025-06-30,ASDM,IDR,2025,Q2,78445376000,67564137000,6551404000
2025-09-30,ASDM,IDR,2025,Q3,61266792000,42524177000,4143841000
2025-12-31,ASDM,IDR,2025,Q4,1229975527000,1272200520000,1836038000
2026-03-31,ASDM,IDR,2026,Q1,74463566000,63645668000,3779975000
2026-06-30,ASDM,IDR,2026,Q2,514507471000,465844302000,7067097000
