date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2011-03-31,ASGR,IDR,2011,Q1,314503000000,99964000000,21545000000
2011-06-30,ASGR,IDR,2011,Q2,333763000000,119206000000,31667000000
2011-09-30,ASGR,IDR,2011,Q3,355664000000,121116000000,38857000000
2011-12-31,ASGR,IDR,2011,Q4,720710000000,147355000000,47404000000
2012-03-31,ASGR,IDR,2012,Q1,423433000000,120838000000,33638000000
2012-06-30,ASGR,IDR,2012,Q2,487717000000,137028000000,36713000000
2012-09-30,ASGR,IDR,2012,Q3,389600000000,133144000000,36759000000
2012-12-31,ASGR,IDR,2012,Q4,763304000000,186100000000,64082000000
2013-03-31,ASGR,IDR,2013,Q1,381107000000,119547000000,26269000000
2013-06-30,ASGR,IDR,2013,Q2,585311000000,158801000000,45468000000
2013-09-30,ASGR,IDR,2013,Q3,493425000000,172628000000,59071000000
2013-12-31,ASGR,IDR,2013,Q4,801410000000,205074000000,78198000000
2014-03-31,ASGR,IDR,2014,Q1,434844000000,139359000000,33065000000
2014-06-30,ASGR,IDR,2014,Q2,486009000000,163390000000,76619000000
2014-09-30,ASGR,IDR,2014,Q3,493155000000,165061000000,64784000000
2014-12-31,ASGR,IDR,2014,Q4,868224000000,214016000000,85752000000
2015-03-31,ASGR,IDR,2015,Q1,459449000000,155967000000,47514000000
2015-06-30,ASGR,IDR,2015,Q2,497887000000,164319000000,49942000000
2015-09-30,ASGR,IDR,2015,Q3,647249000000,181477000000,62730000000
2015-12-31,ASGR,IDR,2015,Q4,1050056000000,265494000000,104934000000
2016-03-31,ASGR,IDR,2016,Q1,620015000000,163475000000,43558000000
2016-06-30,ASGR,IDR,2016,Q2,593400000000,177640000000,51769000000
2016-09-30,ASGR,IDR,2016,Q3,490672000000,151252000000,41315000000
2016-12-31,ASGR,IDR,2016,Q4,1008697000000,260651000000,118470000000
2017-03-31,ASGR,IDR,2017,Q1,578418000000,154150000000,33489000000
2017-06-30,ASGR,IDR,2017,Q2,566676000000,162675000000,38012000000
2017-09-30,ASGR,IDR,2017,Q3,880876000000,196922000000,64744000000
2017-12-31,ASGR,IDR,2017,Q4,1892458000000,282184000000,120980000000
2018-03-31,ASGR,IDR,2018,Q1,630468000000,166382000000,35032000000
2018-06-30,ASGR,IDR,2018,Q2,1040046000000,191026000000,52926000000
2018-09-30,ASGR,IDR,2018,Q3,1002901000000,189826000000,50285000000
2018-12-31,ASGR,IDR,2018,Q4,1396560000000,295634000000,132161000000
2019-03-31,ASGR,IDR,2019,Q1,730342000000,167365000000,25616000000
2019-06-30,ASGR,IDR,2019,Q2,827530000000,169846000000,31201000000
2019-09-30,ASGR,IDR,2019,Q3,1190839000000,181211000000,43144000000
2019-12-31,ASGR,IDR,2019,Q4,2023089000000,333983000000,151031000000
2020-03-31,ASGR,IDR,2020,Q1,709860000000,148660000000,2332000000
2020-06-30,ASGR,IDR,2020,Q2,742608000000,120520000000,18607000000
2020-09-30,ASGR,IDR,2020,Q3,895908000000,130850000000,12735000000
2020-12-31,ASGR,IDR,2020,Q4,1000495000000,139211000000,14109000000
2021-03-31,ASGR,IDR,2021,Q1,616936000000,118709000000,1401000000
2021-06-30,ASGR,IDR,2021,Q2,639894000000,129481000000,16648000000
2021-09-30,ASGR,IDR,2021,Q3,742368000000,125262000000,18945000000
2021-12-31,ASGR,IDR,2021,Q4,1299907000000,163415000000,50317000000
2022-03-31,ASGR,IDR,2022,Q1,618397000000,132023000000,15778000000
2022-06-30,ASGR,IDR,2022,Q2,613153000000,129611000000,15609000000
2022-09-30,ASGR,IDR,2022,Q3,814007000000,148779000000,32897000000
2022-12-31,ASGR,IDR,2022,Q4,864415000000,182927000000,32787000000
2023-03-31,ASGR,IDR,2023,Q1,682497000000,153839000000,25040000000
2023-06-30,ASGR,IDR,2023,Q2,630427000000,150613000000,41886000000
2023-09-30,ASGR,IDR,2023,Q3,765425000000,177656000000,57443000000
2023-12-31,ASGR,IDR,2023,Q4,890603000000,151381000000,16704000000
2024-03-31,ASGR,IDR,2024,Q1,611361000000,139715000000,29328000000
2024-06-30,ASGR,IDR,2024,Q2,676656000000,163839000000,52816000000
2024-09-30,ASGR,IDR,2024,Q3,750357000000,175159000000,68413000000
2024-12-31,ASGR,IDR,2024,Q4,775888000000,158601000000,54100000000
2025-03-31,ASGR,IDR,2025,Q1,721283000000,151176000000,47125000000
2025-06-30,ASGR,IDR,2025,Q2,804599000000,170298000000,59070000000
2025-09-30,ASGR,IDR,2025,Q3,735824000000,173730000000,75067000000
2025-12-31,ASGR,IDR,2025,Q4,729082000000,214521000000,89355000000
2026-03-31,ASGR,IDR,2026,Q1,759829000000,168830000000,69486000000
2026-06-30,ASGR,IDR,2026,Q2,796450000000,173772000000,68962000000
